axis	representation	target	panel	matrix	metadata	output
valuation	token	next_pe_log_dev	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors_token/roberta/valuation/masked_short/target_span_mean/direction.npy	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors_token/roberta/valuation/masked_short/target_span_mean/metadata.parquet	reports/aligned_extended_clusters/valuation_token_next_pe_log_dev.csv
valuation	body	next_pe_log_dev	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/direction.npy	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/metadata.parquet	reports/aligned_extended_clusters/valuation_body_next_pe_log_dev.csv
valuation	token	next_pb_log_dev	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors_token/roberta/valuation/masked_short/target_span_mean/direction.npy	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors_token/roberta/valuation/masked_short/target_span_mean/metadata.parquet	reports/aligned_extended_clusters/valuation_token_next_pb_log_dev.csv
valuation	body	next_pb_log_dev	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/direction.npy	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/metadata.parquet	reports/aligned_extended_clusters/valuation_body_next_pb_log_dev.csv
valuation	token	next_ps_log_dev	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors_token/roberta/valuation/masked_short/target_span_mean/direction.npy	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors_token/roberta/valuation/masked_short/target_span_mean/metadata.parquet	reports/aligned_extended_clusters/valuation_token_next_ps_log_dev.csv
valuation	body	next_ps_log_dev	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/direction.npy	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/metadata.parquet	reports/aligned_extended_clusters/valuation_body_next_ps_log_dev.csv
valuation	token	next_evtoebitda_log_dev	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors_token/roberta/valuation/masked_short/target_span_mean/direction.npy	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors_token/roberta/valuation/masked_short/target_span_mean/metadata.parquet	reports/aligned_extended_clusters/valuation_token_next_evtoebitda_log_dev.csv
valuation	body	next_evtoebitda_log_dev	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/direction.npy	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/valuation/masked_short/body_mean/metadata.parquet	reports/aligned_extended_clusters/valuation_body_next_evtoebitda_log_dev.csv
volatility	token	volatility_jump_log_v2	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors_token/roberta/volatility/masked_short/target_span_mean/direction.npy	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors_token/roberta/volatility/masked_short/target_span_mean/metadata.parquet	reports/aligned_extended_clusters/volatility_token_volatility_jump_log_v2.csv
volatility	body	volatility_jump_log_v2	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/volatility/masked_short/body_mean/direction.npy	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/volatility/masked_short/body_mean/metadata.parquet	reports/aligned_extended_clusters/volatility_body_volatility_jump_log_v2.csv
volatility	token	next_intraday_rvol_log_change	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors_token/roberta/volatility/masked_short/target_span_mean/direction.npy	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors_token/roberta/volatility/masked_short/target_span_mean/metadata.parquet	reports/aligned_extended_clusters/volatility_token_next_intraday_rvol_log_change.csv
volatility	body	next_intraday_rvol_log_change	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/volatility/masked_short/body_mean/direction.npy	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/volatility/masked_short/body_mean/metadata.parquet	reports/aligned_extended_clusters/volatility_body_next_intraday_rvol_log_change.csv
volatility	token	next_intraday_rvol_close	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors_token/roberta/volatility/masked_short/target_span_mean/direction.npy	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors_token/roberta/volatility/masked_short/target_span_mean/metadata.parquet	reports/aligned_extended_clusters/volatility_token_next_intraday_rvol_close.csv
volatility	body	next_intraday_rvol_close	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/volatility/masked_short/body_mean/direction.npy	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/volatility/masked_short/body_mean/metadata.parquet	reports/aligned_extended_clusters/volatility_body_next_intraday_rvol_close.csv
liquidity	token	next_intraday_spread_log_change	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors_token/roberta/liquidity/masked_short/target_span_mean/direction.npy	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors_token/roberta/liquidity/masked_short/target_span_mean/metadata.parquet	reports/aligned_extended_clusters/liquidity_token_next_intraday_spread_log_change.csv
liquidity	body	next_intraday_spread_log_change	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/liquidity/masked_short/body_mean/direction.npy	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/liquidity/masked_short/body_mean/metadata.parquet	reports/aligned_extended_clusters/liquidity_body_next_intraday_spread_log_change.csv
liquidity	token	next_intraday_spread_bps_mean	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors_token/roberta/liquidity/masked_short/target_span_mean/direction.npy	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors_token/roberta/liquidity/masked_short/target_span_mean/metadata.parquet	reports/aligned_extended_clusters/liquidity_token_next_intraday_spread_bps_mean.csv
liquidity	body	next_intraday_spread_bps_mean	data/processed/prompt_factor_labels/prompt_factor_label_panel_extended_v1.parquet	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/liquidity/masked_short/body_mean/direction.npy	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/aligned_masked_short_v1/factors/roberta/liquidity/masked_short/body_mean/metadata.parquet	reports/aligned_extended_clusters/liquidity_body_next_intraday_spread_bps_mean.csv
