task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	output	train_target	evaluation_target
0	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	prompt_mean	logistic	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_prompt_mean_logistic_none_0.json	next_day_return	next_day_return
1	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	prompt_mean	linear_svm	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_prompt_mean_linear_svm_none_0.json	next_day_return	next_day_return
2	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	prompt_mean	sgd	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_prompt_mean_sgd_none_0.json	next_day_return	next_day_return
3	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	prompt_mean	mlp	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_prompt_mean_mlp_none_0.json	next_day_return	next_day_return
4	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	prompt_mean	simple_mlp	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_prompt_mean_simple_mlp_none_0.json	next_day_return	next_day_return
5	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	prompt_mean	lstm	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_prompt_mean_lstm_none_0.json	next_day_return	next_day_return
6	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	prompt_mean	random_forest	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_prompt_mean_random_forest_none_0.json	next_day_return	next_day_return
7	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	prompt_mean	extra_trees	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_prompt_mean_extra_trees_none_0.json	next_day_return	next_day_return
8	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	prompt_mean	hist_gradient_boosting	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_prompt_mean_hist_gradient_boosting_none_0.json	next_day_return	next_day_return
9	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	prompt_mean	xgboost	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_prompt_mean_xgboost_none_0.json	next_day_return	next_day_return
10	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	prompt_mean	lightgbm	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_prompt_mean_lightgbm_none_0.json	next_day_return	next_day_return
11	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	prompt_mean	catboost	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_prompt_mean_catboost_none_0.json	next_day_return	next_day_return
12	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	prompt_mean	knn	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_prompt_mean_knn_none_0.json	next_day_return	next_day_return
13	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_mean	logistic	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_title_mean_logistic_none_0.json	next_day_return	next_day_return
14	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_mean	linear_svm	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_title_mean_linear_svm_none_0.json	next_day_return	next_day_return
15	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_mean	sgd	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_title_mean_sgd_none_0.json	next_day_return	next_day_return
16	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_mean	mlp	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_title_mean_mlp_none_0.json	next_day_return	next_day_return
17	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_mean	simple_mlp	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_title_mean_simple_mlp_none_0.json	next_day_return	next_day_return
18	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_mean	lstm	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_title_mean_lstm_none_0.json	next_day_return	next_day_return
19	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_mean	random_forest	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_title_mean_random_forest_none_0.json	next_day_return	next_day_return
20	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_mean	extra_trees	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_title_mean_extra_trees_none_0.json	next_day_return	next_day_return
21	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_mean	hist_gradient_boosting	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_title_mean_hist_gradient_boosting_none_0.json	next_day_return	next_day_return
22	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_mean	xgboost	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_title_mean_xgboost_none_0.json	next_day_return	next_day_return
23	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_mean	lightgbm	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_title_mean_lightgbm_none_0.json	next_day_return	next_day_return
24	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_mean	catboost	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_title_mean_catboost_none_0.json	next_day_return	next_day_return
25	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_mean	knn	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_title_mean_knn_none_0.json	next_day_return	next_day_return
26	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	logistic	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_body_mean_logistic_none_0.json	next_day_return	next_day_return
27	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	linear_svm	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_body_mean_linear_svm_none_0.json	next_day_return	next_day_return
28	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	sgd	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_body_mean_sgd_none_0.json	next_day_return	next_day_return
29	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	mlp	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_body_mean_mlp_none_0.json	next_day_return	next_day_return
30	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	simple_mlp	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_body_mean_simple_mlp_none_0.json	next_day_return	next_day_return
31	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	lstm	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_body_mean_lstm_none_0.json	next_day_return	next_day_return
32	all_pooling	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	random_forest	none	0	reports/classification/pooled_embeddings/all_pooling/bge_m3_short_body_mean_random_forest_none_0.json	next_day_return	next_day_return
