task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	output	train_target	evaluation_target
0	aggregation	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	title_body_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/aggregation/roberta_short_title_body_mean_logistic_none_0.json	event_return_3d	event_return_3d
1	aggregation	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	title_body_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/aggregation/roberta_short_title_body_mean_logistic_pca_128.json	event_return_3d	event_return_3d
2	aggregation	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	title_body_concat	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/aggregation/roberta_short_title_body_concat_logistic_none_0.json	event_return_3d	event_return_3d
3	aggregation	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	title_body_concat	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/aggregation/roberta_short_title_body_concat_logistic_pca_128.json	event_return_3d	event_return_3d
4	aggregation	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_body_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/aggregation/bge_m3_short_title_body_mean_logistic_none_0.json	event_return_3d	event_return_3d
5	aggregation	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_body_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/aggregation/bge_m3_short_title_body_mean_logistic_pca_128.json	event_return_3d	event_return_3d
6	aggregation	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_body_concat	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/aggregation/bge_m3_short_title_body_concat_logistic_none_0.json	event_return_3d	event_return_3d
7	aggregation	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_body_concat	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/aggregation/bge_m3_short_title_body_concat_logistic_pca_128.json	event_return_3d	event_return_3d
8	aggregation	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	title_body_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/aggregation/roberta_masked_short_title_body_mean_logistic_none_0.json	event_return_3d	event_return_3d
9	aggregation	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	title_body_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/aggregation/roberta_masked_short_title_body_mean_logistic_pca_128.json	event_return_3d	event_return_3d
