task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	output	train_target	evaluation_target
0	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	body_mean	logistic	pca	32	reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_short_body_mean_logistic_pca_32.json	next_day_return	next_day_return
1	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	body_mean	logistic	pca	64	reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_short_body_mean_logistic_pca_64.json	next_day_return	next_day_return
2	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	body_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_short_body_mean_logistic_pca_128.json	next_day_return	next_day_return
3	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	body_mean	logistic	pca	256	reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_short_body_mean_logistic_pca_256.json	next_day_return	next_day_return
4	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	full_mean	logistic	pca	32	reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_short_full_mean_logistic_pca_32.json	next_day_return	next_day_return
5	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	full_mean	logistic	pca	64	reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_short_full_mean_logistic_pca_64.json	next_day_return	next_day_return
6	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	full_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_short_full_mean_logistic_pca_128.json	next_day_return	next_day_return
7	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	full_mean	logistic	pca	256	reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_short_full_mean_logistic_pca_256.json	next_day_return	next_day_return
8	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	logistic	pca	32	reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/bge_m3_short_body_mean_logistic_pca_32.json	next_day_return	next_day_return
9	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	logistic	pca	64	reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/bge_m3_short_body_mean_logistic_pca_64.json	next_day_return	next_day_return
