task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	output	train_target	evaluation_target
0	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	body_mean	logistic	pca	32	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_short_body_mean_logistic_pca_32.json	event_return_3d	event_return_3d
1	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	body_mean	logistic	pca	64	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_short_body_mean_logistic_pca_64.json	event_return_3d	event_return_3d
2	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	body_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_short_body_mean_logistic_pca_128.json	event_return_3d	event_return_3d
3	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	body_mean	logistic	pca	256	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_short_body_mean_logistic_pca_256.json	event_return_3d	event_return_3d
4	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	full_mean	logistic	pca	32	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_short_full_mean_logistic_pca_32.json	event_return_3d	event_return_3d
5	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	full_mean	logistic	pca	64	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_short_full_mean_logistic_pca_64.json	event_return_3d	event_return_3d
6	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	full_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_short_full_mean_logistic_pca_128.json	event_return_3d	event_return_3d
7	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	full_mean	logistic	pca	256	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_short_full_mean_logistic_pca_256.json	event_return_3d	event_return_3d
8	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	logistic	pca	32	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/bge_m3_short_body_mean_logistic_pca_32.json	event_return_3d	event_return_3d
9	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	logistic	pca	64	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/bge_m3_short_body_mean_logistic_pca_64.json	event_return_3d	event_return_3d
10	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/bge_m3_short_body_mean_logistic_pca_128.json	event_return_3d	event_return_3d
11	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	logistic	pca	256	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/bge_m3_short_body_mean_logistic_pca_256.json	event_return_3d	event_return_3d
12	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	full_mean	logistic	pca	32	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/bge_m3_short_full_mean_logistic_pca_32.json	event_return_3d	event_return_3d
13	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	full_mean	logistic	pca	64	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/bge_m3_short_full_mean_logistic_pca_64.json	event_return_3d	event_return_3d
14	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	full_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/bge_m3_short_full_mean_logistic_pca_128.json	event_return_3d	event_return_3d
15	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	full_mean	logistic	pca	256	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/bge_m3_short_full_mean_logistic_pca_256.json	event_return_3d	event_return_3d
16	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	body_mean	logistic	pca	32	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_masked_short_body_mean_logistic_pca_32.json	event_return_3d	event_return_3d
17	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	body_mean	logistic	pca	64	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_masked_short_body_mean_logistic_pca_64.json	event_return_3d	event_return_3d
18	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	body_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_masked_short_body_mean_logistic_pca_128.json	event_return_3d	event_return_3d
19	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	body_mean	logistic	pca	256	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_masked_short_body_mean_logistic_pca_256.json	event_return_3d	event_return_3d
20	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	full_mean	logistic	pca	32	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_masked_short_full_mean_logistic_pca_32.json	event_return_3d	event_return_3d
21	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	full_mean	logistic	pca	64	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_masked_short_full_mean_logistic_pca_64.json	event_return_3d	event_return_3d
22	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	full_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_masked_short_full_mean_logistic_pca_128.json	event_return_3d	event_return_3d
23	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	full_mean	logistic	pca	256	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/roberta_masked_short_full_mean_logistic_pca_256.json	event_return_3d	event_return_3d
24	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	body_mean	logistic	pca	32	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/bge_m3_masked_short_body_mean_logistic_pca_32.json	event_return_3d	event_return_3d
25	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	body_mean	logistic	pca	64	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/bge_m3_masked_short_body_mean_logistic_pca_64.json	event_return_3d	event_return_3d
26	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	body_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/bge_m3_masked_short_body_mean_logistic_pca_128.json	event_return_3d	event_return_3d
27	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	body_mean	logistic	pca	256	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/bge_m3_masked_short_body_mean_logistic_pca_256.json	event_return_3d	event_return_3d
28	pca_sweep	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	full_mean	logistic	pca	32	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/pca_sweep/bge_m3_masked_short_full_mean_logistic_pca_32.json	event_return_3d	event_return_3d
