task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	output	train_target	evaluation_target
0	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	title_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_short_title_mean_logistic_none_0.json	next_day_return	next_day_return
1	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	title_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_short_title_mean_logistic_pca_128.json	next_day_return	next_day_return
2	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	body_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_short_body_mean_logistic_none_0.json	next_day_return	next_day_return
3	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	body_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_short_body_mean_logistic_pca_128.json	next_day_return	next_day_return
4	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	full_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_short_full_mean_logistic_none_0.json	next_day_return	next_day_return
5	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	full_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_short_full_mean_logistic_pca_128.json	next_day_return	next_day_return
6	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/bge_m3_short_title_mean_logistic_none_0.json	next_day_return	next_day_return
7	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/bge_m3_short_title_mean_logistic_pca_128.json	next_day_return	next_day_return
8	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/bge_m3_short_body_mean_logistic_none_0.json	next_day_return	next_day_return
9	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/bge_m3_short_body_mean_logistic_pca_128.json	next_day_return	next_day_return
10	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	full_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/bge_m3_short_full_mean_logistic_none_0.json	next_day_return	next_day_return
11	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	full_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/bge_m3_short_full_mean_logistic_pca_128.json	next_day_return	next_day_return
12	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	title_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_masked_short_title_mean_logistic_none_0.json	next_day_return	next_day_return
13	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	title_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_masked_short_title_mean_logistic_pca_128.json	next_day_return	next_day_return
14	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	body_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_masked_short_body_mean_logistic_none_0.json	next_day_return	next_day_return
15	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	body_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_masked_short_body_mean_logistic_pca_128.json	next_day_return	next_day_return
16	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	full_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_masked_short_full_mean_logistic_none_0.json	next_day_return	next_day_return
17	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	full_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_masked_short_full_mean_logistic_pca_128.json	next_day_return	next_day_return
18	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	title_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/bge_m3_masked_short_title_mean_logistic_none_0.json	next_day_return	next_day_return
19	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	title_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/bge_m3_masked_short_title_mean_logistic_pca_128.json	next_day_return	next_day_return
20	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	body_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/bge_m3_masked_short_body_mean_logistic_none_0.json	next_day_return	next_day_return
21	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	body_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/bge_m3_masked_short_body_mean_logistic_pca_128.json	next_day_return	next_day_return
22	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	full_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/bge_m3_masked_short_full_mean_logistic_none_0.json	next_day_return	next_day_return
23	screening	/data/alpha_team2/shares/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	masked_short	full_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/screening/bge_m3_masked_short_full_mean_logistic_pca_128.json	next_day_return	next_day_return
