task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	output	train_target	evaluation_target
0	screening	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	title_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_short_title_mean_logistic_none_0.json	event_return_3d	event_return_3d
1	screening	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	title_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_short_title_mean_logistic_pca_128.json	event_return_3d	event_return_3d
2	screening	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	body_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_short_body_mean_logistic_none_0.json	event_return_3d	event_return_3d
3	screening	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	body_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_short_body_mean_logistic_pca_128.json	event_return_3d	event_return_3d
4	screening	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	full_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_short_full_mean_logistic_none_0.json	event_return_3d	event_return_3d
5	screening	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	full_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_short_full_mean_logistic_pca_128.json	event_return_3d	event_return_3d
6	screening	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/screening/bge_m3_short_title_mean_logistic_none_0.json	event_return_3d	event_return_3d
7	screening	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	title_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/screening/bge_m3_short_title_mean_logistic_pca_128.json	event_return_3d	event_return_3d
8	screening	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/screening/bge_m3_short_body_mean_logistic_none_0.json	event_return_3d	event_return_3d
9	screening	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	body_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/screening/bge_m3_short_body_mean_logistic_pca_128.json	event_return_3d	event_return_3d
10	screening	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	full_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/screening/bge_m3_short_full_mean_logistic_none_0.json	event_return_3d	event_return_3d
11	screening	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	bge_m3	short	full_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/screening/bge_m3_short_full_mean_logistic_pca_128.json	event_return_3d	event_return_3d
12	screening	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	title_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_masked_short_title_mean_logistic_none_0.json	event_return_3d	event_return_3d
13	screening	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	title_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_masked_short_title_mean_logistic_pca_128.json	event_return_3d	event_return_3d
14	screening	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	body_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_masked_short_body_mean_logistic_none_0.json	event_return_3d	event_return_3d
15	screening	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	body_mean	logistic	pca	128	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_masked_short_body_mean_logistic_pca_128.json	event_return_3d	event_return_3d
16	screening	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	full_mean	logistic	none	0	reports/classification/pooled_embeddings/cninfo_2010_2026/event3/reports/classification/pooled_embeddings/cninfo_2010_2026/screening/roberta_masked_short_full_mean_logistic_none_0.json	event_return_3d	event_return_3d
