task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	output	train_target	evaluation_target
0	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	short	prompt_mean	mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_short_prompt_mean_mlp_none_0.json	next_day_return	next_day_return
1	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	short	prompt_mean	simple_mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_short_prompt_mean_simple_mlp_none_0.json	next_day_return	next_day_return
2	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	short	title_mean	mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_short_title_mean_mlp_none_0.json	next_day_return	next_day_return
3	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	short	title_mean	simple_mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_short_title_mean_simple_mlp_none_0.json	next_day_return	next_day_return
4	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	short	body_mean	mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_short_body_mean_mlp_none_0.json	next_day_return	next_day_return
5	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	short	body_mean	simple_mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_short_body_mean_simple_mlp_none_0.json	next_day_return	next_day_return
6	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	short	title_body_mean	mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_short_title_body_mean_mlp_none_0.json	next_day_return	next_day_return
7	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	short	title_body_mean	simple_mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_short_title_body_mean_simple_mlp_none_0.json	next_day_return	next_day_return
8	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	short	full_mean	mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_short_full_mean_mlp_none_0.json	next_day_return	next_day_return
9	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	short	full_mean	simple_mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_short_full_mean_simple_mlp_none_0.json	next_day_return	next_day_return
10	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	short	title_body_concat	mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_short_title_body_concat_mlp_none_0.json	next_day_return	next_day_return
11	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	short	title_body_concat	simple_mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_short_title_body_concat_simple_mlp_none_0.json	next_day_return	next_day_return
12	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	short	title_body_full_concat	mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_short_title_body_full_concat_mlp_none_0.json	next_day_return	next_day_return
13	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	short	title_body_full_concat	simple_mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_short_title_body_full_concat_simple_mlp_none_0.json	next_day_return	next_day_return
14	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	masked_short	prompt_mean	mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_masked_short_prompt_mean_mlp_none_0.json	next_day_return	next_day_return
15	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	masked_short	prompt_mean	simple_mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_masked_short_prompt_mean_simple_mlp_none_0.json	next_day_return	next_day_return
16	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	masked_short	title_mean	mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_masked_short_title_mean_mlp_none_0.json	next_day_return	next_day_return
17	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	masked_short	title_mean	simple_mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_masked_short_title_mean_simple_mlp_none_0.json	next_day_return	next_day_return
18	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	masked_short	body_mean	mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_masked_short_body_mean_mlp_none_0.json	next_day_return	next_day_return
19	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	masked_short	body_mean	simple_mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_masked_short_body_mean_simple_mlp_none_0.json	next_day_return	next_day_return
20	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	masked_short	title_body_mean	mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_masked_short_title_body_mean_mlp_none_0.json	next_day_return	next_day_return
21	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	masked_short	title_body_mean	simple_mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_masked_short_title_body_mean_simple_mlp_none_0.json	next_day_return	next_day_return
22	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	masked_short	full_mean	mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_masked_short_full_mean_mlp_none_0.json	next_day_return	next_day_return
23	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	masked_short	full_mean	simple_mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_masked_short_full_mean_simple_mlp_none_0.json	next_day_return	next_day_return
24	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	masked_short	title_body_concat	mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_masked_short_title_body_concat_mlp_none_0.json	next_day_return	next_day_return
25	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	masked_short	title_body_concat	simple_mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_masked_short_title_body_concat_simple_mlp_none_0.json	next_day_return	next_day_return
26	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	masked_short	title_body_full_concat	mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_masked_short_title_body_full_concat_mlp_none_0.json	next_day_return	next_day_return
27	temporal_mlp	/mnt/lustre3/home/gaozh/llm_return/data/processed/pooled_embeddings_2010_2026_roberta_v1	roberta	masked_short	title_body_full_concat	simple_mlp	none	0	reports/classification/pooled_embeddings/temporal_mlp/roberta_masked_short_title_body_full_concat_simple_mlp_none_0.json	next_day_return	next_day_return
