task_id	model	prompt_length	variant	target	test_year
0	roberta	short	short	event_return_3d	2018
1	roberta	short	short	event_return_3d	2019
2	roberta	short	short	event_return_3d	2020
3	roberta	short	short	event_return_3d	2021
4	roberta	short	short	event_return_3d	2022
5	roberta	short	short	event_return_3d	2023
6	roberta	short	short	event_return_3d	2024
7	roberta	short	short	event_return_3d	2025
8	roberta	short	short	event_return_3d	2026
9	roberta	short	short	next_day_return	2018
10	roberta	short	short	next_day_return	2019
11	roberta	short	short	next_day_return	2020
12	roberta	short	short	next_day_return	2021
13	roberta	short	short	next_day_return	2022
14	roberta	short	short	next_day_return	2023
15	roberta	short	short	next_day_return	2024
16	roberta	short	short	next_day_return	2025
17	roberta	short	short	next_day_return	2026
18	roberta	short	masked_short	event_return_3d	2018
19	roberta	short	masked_short	event_return_3d	2019
20	roberta	short	masked_short	event_return_3d	2020
21	roberta	short	masked_short	event_return_3d	2021
22	roberta	short	masked_short	event_return_3d	2022
23	roberta	short	masked_short	event_return_3d	2023
24	roberta	short	masked_short	event_return_3d	2024
25	roberta	short	masked_short	event_return_3d	2025
26	roberta	short	masked_short	event_return_3d	2026
27	roberta	short	masked_short	next_day_return	2018
28	roberta	short	masked_short	next_day_return	2019
29	roberta	short	masked_short	next_day_return	2020
30	roberta	short	masked_short	next_day_return	2021
31	roberta	short	masked_short	next_day_return	2022
32	roberta	short	masked_short	next_day_return	2023
33	roberta	short	masked_short	next_day_return	2024
34	roberta	short	masked_short	next_day_return	2025
35	roberta	short	masked_short	next_day_return	2026
36	bge_m3	short	short	event_return_3d	2018
37	bge_m3	short	short	event_return_3d	2019
38	bge_m3	short	short	event_return_3d	2020
39	bge_m3	short	short	event_return_3d	2021
40	bge_m3	short	short	event_return_3d	2022
41	bge_m3	short	short	event_return_3d	2023
42	bge_m3	short	short	event_return_3d	2024
43	bge_m3	short	short	event_return_3d	2025
44	bge_m3	short	short	event_return_3d	2026
45	bge_m3	short	short	next_day_return	2018
46	bge_m3	short	short	next_day_return	2019
47	bge_m3	short	short	next_day_return	2020
48	bge_m3	short	short	next_day_return	2021
49	bge_m3	short	short	next_day_return	2022
50	bge_m3	short	short	next_day_return	2023
51	bge_m3	short	short	next_day_return	2024
52	bge_m3	short	short	next_day_return	2025
53	bge_m3	short	short	next_day_return	2026
54	bge_m3	short	masked_short	event_return_3d	2018
55	bge_m3	short	masked_short	event_return_3d	2019
56	bge_m3	short	masked_short	event_return_3d	2020
57	bge_m3	short	masked_short	event_return_3d	2021
58	bge_m3	short	masked_short	event_return_3d	2022
59	bge_m3	short	masked_short	event_return_3d	2023
60	bge_m3	short	masked_short	event_return_3d	2024
61	bge_m3	short	masked_short	event_return_3d	2025
62	bge_m3	short	masked_short	event_return_3d	2026
63	bge_m3	short	masked_short	next_day_return	2018
64	bge_m3	short	masked_short	next_day_return	2019
65	bge_m3	short	masked_short	next_day_return	2020
66	bge_m3	short	masked_short	next_day_return	2021
67	bge_m3	short	masked_short	next_day_return	2022
68	bge_m3	short	masked_short	next_day_return	2023
69	bge_m3	short	masked_short	next_day_return	2024
70	bge_m3	short	masked_short	next_day_return	2025
71	bge_m3	short	masked_short	next_day_return	2026
