task_id	semantics	variant	target	components	cluster	mode
0	return_span	short	next_day_return	64	0	pca
1	return_span	short	next_day_return	64	1	pca
2	return_span	short	next_day_return	128	0	pca
3	return_span	short	next_day_return	128	1	pca
4	return_span	short	next_day_return	0	0	raw
5	return_span	short	next_day_return	0	1	raw
6	return_span	short	event_return_3d	64	0	pca
7	return_span	short	event_return_3d	64	1	pca
8	return_span	short	event_return_3d	128	0	pca
9	return_span	short	event_return_3d	128	1	pca
10	return_span	short	event_return_3d	0	0	raw
11	return_span	short	event_return_3d	0	1	raw
12	return_span	masked_short	next_day_return	64	0	pca
13	return_span	masked_short	next_day_return	64	1	pca
14	return_span	masked_short	next_day_return	128	0	pca
15	return_span	masked_short	next_day_return	128	1	pca
16	return_span	masked_short	next_day_return	0	0	raw
17	return_span	masked_short	next_day_return	0	1	raw
18	return_span	masked_short	event_return_3d	64	0	pca
19	return_span	masked_short	event_return_3d	64	1	pca
20	return_span	masked_short	event_return_3d	128	0	pca
21	return_span	masked_short	event_return_3d	128	1	pca
22	return_span	masked_short	event_return_3d	0	0	raw
23	return_span	masked_short	event_return_3d	0	1	raw
24	stock_span	short	next_day_return	64	0	pca
25	stock_span	short	next_day_return	64	1	pca
26	stock_span	short	next_day_return	128	0	pca
27	stock_span	short	next_day_return	128	1	pca
28	stock_span	short	next_day_return	0	0	raw
29	stock_span	short	next_day_return	0	1	raw
30	stock_span	short	event_return_3d	64	0	pca
31	stock_span	short	event_return_3d	64	1	pca
32	stock_span	short	event_return_3d	128	0	pca
33	stock_span	short	event_return_3d	128	1	pca
34	stock_span	short	event_return_3d	0	0	raw
35	stock_span	short	event_return_3d	0	1	raw
36	stock_span	masked_short	next_day_return	64	0	pca
37	stock_span	masked_short	next_day_return	64	1	pca
38	stock_span	masked_short	next_day_return	128	0	pca
39	stock_span	masked_short	next_day_return	128	1	pca
40	stock_span	masked_short	next_day_return	0	0	raw
41	stock_span	masked_short	next_day_return	0	1	raw
42	stock_span	masked_short	event_return_3d	64	0	pca
43	stock_span	masked_short	event_return_3d	64	1	pca
44	stock_span	masked_short	event_return_3d	128	0	pca
45	stock_span	masked_short	event_return_3d	128	1	pca
46	stock_span	masked_short	event_return_3d	0	0	raw
47	stock_span	masked_short	event_return_3d	0	1	raw
48	return_span,stock_span	short	next_day_return	64	0	pca
49	return_span,stock_span	short	next_day_return	64	1	pca
50	return_span,stock_span	short	next_day_return	128	0	pca
51	return_span,stock_span	short	next_day_return	128	1	pca
52	return_span,stock_span	short	next_day_return	0	0	raw
53	return_span,stock_span	short	next_day_return	0	1	raw
54	return_span,stock_span	short	event_return_3d	64	0	pca
55	return_span,stock_span	short	event_return_3d	64	1	pca
56	return_span,stock_span	short	event_return_3d	128	0	pca
57	return_span,stock_span	short	event_return_3d	128	1	pca
58	return_span,stock_span	short	event_return_3d	0	0	raw
59	return_span,stock_span	short	event_return_3d	0	1	raw
60	return_span,stock_span	masked_short	next_day_return	64	0	pca
61	return_span,stock_span	masked_short	next_day_return	64	1	pca
62	return_span,stock_span	masked_short	next_day_return	128	0	pca
63	return_span,stock_span	masked_short	next_day_return	128	1	pca
64	return_span,stock_span	masked_short	next_day_return	0	0	raw
65	return_span,stock_span	masked_short	next_day_return	0	1	raw
66	return_span,stock_span	masked_short	event_return_3d	64	0	pca
67	return_span,stock_span	masked_short	event_return_3d	64	1	pca
68	return_span,stock_span	masked_short	event_return_3d	128	0	pca
69	return_span,stock_span	masked_short	event_return_3d	128	1	pca
70	return_span,stock_span	masked_short	event_return_3d	0	0	raw
71	return_span,stock_span	masked_short	event_return_3d	0	1	raw
