task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	output	train_target	evaluation_target
0	finbert2	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	short	prompt_mean	logistic	none	0	reports/classification/pooled_embeddings/finbert2/finbert2_base_short_prompt_mean_logistic.json	next_day_return	next_day_return
1	finbert2	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	short	title_mean	logistic	none	0	reports/classification/pooled_embeddings/finbert2/finbert2_base_short_title_mean_logistic.json	next_day_return	next_day_return
2	finbert2	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	short	body_mean	logistic	none	0	reports/classification/pooled_embeddings/finbert2/finbert2_base_short_body_mean_logistic.json	next_day_return	next_day_return
3	finbert2	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	short	title_body_mean	logistic	none	0	reports/classification/pooled_embeddings/finbert2/finbert2_base_short_title_body_mean_logistic.json	next_day_return	next_day_return
4	finbert2	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	short	full_mean	logistic	none	0	reports/classification/pooled_embeddings/finbert2/finbert2_base_short_full_mean_logistic.json	next_day_return	next_day_return
5	finbert2	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	short	cls	logistic	none	0	reports/classification/pooled_embeddings/finbert2/finbert2_base_short_cls_logistic.json	next_day_return	next_day_return
6	finbert2	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	short	full_max	logistic	none	0	reports/classification/pooled_embeddings/finbert2/finbert2_base_short_full_max_logistic.json	next_day_return	next_day_return
7	finbert2	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	masked_short	prompt_mean	logistic	none	0	reports/classification/pooled_embeddings/finbert2/finbert2_base_masked_short_prompt_mean_logistic.json	next_day_return	next_day_return
8	finbert2	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	masked_short	title_mean	logistic	none	0	reports/classification/pooled_embeddings/finbert2/finbert2_base_masked_short_title_mean_logistic.json	next_day_return	next_day_return
9	finbert2	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	masked_short	body_mean	logistic	none	0	reports/classification/pooled_embeddings/finbert2/finbert2_base_masked_short_body_mean_logistic.json	next_day_return	next_day_return
10	finbert2	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	masked_short	title_body_mean	logistic	none	0	reports/classification/pooled_embeddings/finbert2/finbert2_base_masked_short_title_body_mean_logistic.json	next_day_return	next_day_return
11	finbert2	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	masked_short	full_mean	logistic	none	0	reports/classification/pooled_embeddings/finbert2/finbert2_base_masked_short_full_mean_logistic.json	next_day_return	next_day_return
12	finbert2	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	masked_short	cls	logistic	none	0	reports/classification/pooled_embeddings/finbert2/finbert2_base_masked_short_cls_logistic.json	next_day_return	next_day_return
13	finbert2	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	masked_short	full_max	logistic	none	0	reports/classification/pooled_embeddings/finbert2/finbert2_base_masked_short_full_max_logistic.json	next_day_return	next_day_return
