task_id	embedding_root	model	variant	feature	target	regressor	run_mode	reducer	components	output
0	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	short	prompt_mean	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/finbert2/finbert2_base_short_prompt_mean_ridge.json
1	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	short	title_mean	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/finbert2/finbert2_base_short_title_mean_ridge.json
2	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	short	body_mean	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/finbert2/finbert2_base_short_body_mean_ridge.json
3	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	short	title_body_mean	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/finbert2/finbert2_base_short_title_body_mean_ridge.json
4	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	short	full_mean	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/finbert2/finbert2_base_short_full_mean_ridge.json
5	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	short	cls	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/finbert2/finbert2_base_short_cls_ridge.json
6	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	short	full_max	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/finbert2/finbert2_base_short_full_max_ridge.json
7	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	masked_short	prompt_mean	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/finbert2/finbert2_base_masked_short_prompt_mean_ridge.json
8	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	masked_short	title_mean	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/finbert2/finbert2_base_masked_short_title_mean_ridge.json
9	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	masked_short	body_mean	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/finbert2/finbert2_base_masked_short_body_mean_ridge.json
10	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	masked_short	title_body_mean	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/finbert2/finbert2_base_masked_short_title_body_mean_ridge.json
11	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	masked_short	full_mean	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/finbert2/finbert2_base_masked_short_full_mean_ridge.json
12	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	masked_short	cls	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/finbert2/finbert2_base_masked_short_cls_ridge.json
13	data/processed/pooled_finbert2_embeddings_2010_2026_v1	finbert2_base	masked_short	full_max	next_day_open_to_open_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/finbert2/finbert2_base_masked_short_full_max_ridge.json
