task_id	model	variant	feature	seed	learning_rate_schedule	early_stopping_min_epoch	output
0	finbert2_base	short	body_mean	42	constant	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_short_body_mean_stable_simple_mlp_accuracy_burnin10_constant_seed42.json
1	finbert2_base	short	body_mean	43	constant	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_short_body_mean_stable_simple_mlp_accuracy_burnin10_constant_seed43.json
2	finbert2_base	short	body_mean	44	constant	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_short_body_mean_stable_simple_mlp_accuracy_burnin10_constant_seed44.json
3	finbert2_base	short	body_mean	45	constant	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_short_body_mean_stable_simple_mlp_accuracy_burnin10_constant_seed45.json
4	finbert2_base	short	body_mean	46	constant	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_short_body_mean_stable_simple_mlp_accuracy_burnin10_constant_seed46.json
5	finbert2_base	short	body_mean	42	cosine	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_short_body_mean_stable_simple_mlp_accuracy_burnin10_cosine_seed42.json
6	finbert2_base	short	body_mean	43	cosine	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_short_body_mean_stable_simple_mlp_accuracy_burnin10_cosine_seed43.json
7	finbert2_base	short	body_mean	44	cosine	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_short_body_mean_stable_simple_mlp_accuracy_burnin10_cosine_seed44.json
8	finbert2_base	short	body_mean	45	cosine	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_short_body_mean_stable_simple_mlp_accuracy_burnin10_cosine_seed45.json
9	finbert2_base	short	body_mean	46	cosine	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_short_body_mean_stable_simple_mlp_accuracy_burnin10_cosine_seed46.json
10	finbert2_base	plain	full_mean	42	constant	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_plain_full_mean_stable_simple_mlp_accuracy_burnin10_constant_seed42.json
11	finbert2_base	plain	full_mean	43	constant	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_plain_full_mean_stable_simple_mlp_accuracy_burnin10_constant_seed43.json
12	finbert2_base	plain	full_mean	44	constant	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_plain_full_mean_stable_simple_mlp_accuracy_burnin10_constant_seed44.json
13	finbert2_base	plain	full_mean	45	constant	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_plain_full_mean_stable_simple_mlp_accuracy_burnin10_constant_seed45.json
14	finbert2_base	plain	full_mean	46	constant	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_plain_full_mean_stable_simple_mlp_accuracy_burnin10_constant_seed46.json
15	finbert2_base	plain	full_mean	42	cosine	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_plain_full_mean_stable_simple_mlp_accuracy_burnin10_cosine_seed42.json
16	finbert2_base	plain	full_mean	43	cosine	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_plain_full_mean_stable_simple_mlp_accuracy_burnin10_cosine_seed43.json
17	finbert2_base	plain	full_mean	44	cosine	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_plain_full_mean_stable_simple_mlp_accuracy_burnin10_cosine_seed44.json
18	finbert2_base	plain	full_mean	45	cosine	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_plain_full_mean_stable_simple_mlp_accuracy_burnin10_cosine_seed45.json
19	finbert2_base	plain	full_mean	46	cosine	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_plain_full_mean_stable_simple_mlp_accuracy_burnin10_cosine_seed46.json
20	finbert2_base	masked_short	body_mean	42	constant	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_masked_short_body_mean_stable_simple_mlp_accuracy_burnin10_constant_seed42.json
21	finbert2_base	masked_short	body_mean	43	constant	10	reports/classification/pooled_embeddings/finbert2_stable_mlp/finbert2_base_masked_short_body_mean_stable_simple_mlp_accuracy_burnin10_constant_seed43.json
