task_id	model	prompt_length	variant	target	test_year
0	roberta	short	short	event_return_3d	2018
1	roberta	short	short	event_return_3d	2019
2	roberta	short	short	event_return_3d	2020
3	roberta	short	short	event_return_3d	2021
4	roberta	short	short	event_return_3d	2022
5	roberta	short	short	event_return_3d	2023
6	roberta	short	short	event_return_3d	2024
7	roberta	short	short	event_return_3d	2025
8	roberta	short	short	event_return_3d	2026
9	roberta	short	short	next_day_return	2018
10	roberta	short	short	next_day_return	2019
11	roberta	short	short	next_day_return	2020
12	roberta	short	short	next_day_return	2021
13	roberta	short	short	next_day_return	2022
14	roberta	short	short	next_day_return	2023
15	roberta	short	short	next_day_return	2024
16	roberta	short	short	next_day_return	2025
17	roberta	short	short	next_day_return	2026
18	roberta	short	masked_short	event_return_3d	2018
19	roberta	short	masked_short	event_return_3d	2019
20	roberta	short	masked_short	event_return_3d	2020
21	roberta	short	masked_short	event_return_3d	2021
22	roberta	short	masked_short	event_return_3d	2022
23	roberta	short	masked_short	event_return_3d	2023
24	roberta	short	masked_short	event_return_3d	2024
25	roberta	short	masked_short	event_return_3d	2025
26	roberta	short	masked_short	event_return_3d	2026
27	roberta	short	masked_short	next_day_return	2018
28	roberta	short	masked_short	next_day_return	2019
29	roberta	short	masked_short	next_day_return	2020
30	roberta	short	masked_short	next_day_return	2021
31	roberta	short	masked_short	next_day_return	2022
32	roberta	short	masked_short	next_day_return	2023
33	roberta	short	masked_short	next_day_return	2024
34	roberta	short	masked_short	next_day_return	2025
35	roberta	short	masked_short	next_day_return	2026
36	roberta	long	long	event_return_3d	2018
37	roberta	long	long	event_return_3d	2019
38	roberta	long	long	event_return_3d	2020
39	roberta	long	long	event_return_3d	2021
40	roberta	long	long	event_return_3d	2022
41	roberta	long	long	event_return_3d	2023
42	roberta	long	long	event_return_3d	2024
43	roberta	long	long	event_return_3d	2025
44	roberta	long	long	event_return_3d	2026
45	roberta	long	long	next_day_return	2018
46	roberta	long	long	next_day_return	2019
47	roberta	long	long	next_day_return	2020
48	roberta	long	long	next_day_return	2021
49	roberta	long	long	next_day_return	2022
50	roberta	long	long	next_day_return	2023
51	roberta	long	long	next_day_return	2024
52	roberta	long	long	next_day_return	2025
53	roberta	long	long	next_day_return	2026
54	roberta	long	masked_long	event_return_3d	2018
55	roberta	long	masked_long	event_return_3d	2019
56	roberta	long	masked_long	event_return_3d	2020
57	roberta	long	masked_long	event_return_3d	2021
58	roberta	long	masked_long	event_return_3d	2022
59	roberta	long	masked_long	event_return_3d	2023
60	roberta	long	masked_long	event_return_3d	2024
61	roberta	long	masked_long	event_return_3d	2025
62	roberta	long	masked_long	event_return_3d	2026
63	roberta	long	masked_long	next_day_return	2018
64	roberta	long	masked_long	next_day_return	2019
65	roberta	long	masked_long	next_day_return	2020
66	roberta	long	masked_long	next_day_return	2021
67	roberta	long	masked_long	next_day_return	2022
68	roberta	long	masked_long	next_day_return	2023
69	roberta	long	masked_long	next_day_return	2024
70	roberta	long	masked_long	next_day_return	2025
71	roberta	long	masked_long	next_day_return	2026
72	bge_m3	short	short	event_return_3d	2018
73	bge_m3	short	short	event_return_3d	2019
74	bge_m3	short	short	event_return_3d	2020
75	bge_m3	short	short	event_return_3d	2021
76	bge_m3	short	short	event_return_3d	2022
77	bge_m3	short	short	event_return_3d	2023
78	bge_m3	short	short	event_return_3d	2024
79	bge_m3	short	short	event_return_3d	2025
80	bge_m3	short	short	event_return_3d	2026
81	bge_m3	short	short	next_day_return	2018
82	bge_m3	short	short	next_day_return	2019
83	bge_m3	short	short	next_day_return	2020
84	bge_m3	short	short	next_day_return	2021
85	bge_m3	short	short	next_day_return	2022
86	bge_m3	short	short	next_day_return	2023
87	bge_m3	short	short	next_day_return	2024
88	bge_m3	short	short	next_day_return	2025
89	bge_m3	short	short	next_day_return	2026
90	bge_m3	short	masked_short	event_return_3d	2018
91	bge_m3	short	masked_short	event_return_3d	2019
92	bge_m3	short	masked_short	event_return_3d	2020
93	bge_m3	short	masked_short	event_return_3d	2021
94	bge_m3	short	masked_short	event_return_3d	2022
95	bge_m3	short	masked_short	event_return_3d	2023
96	bge_m3	short	masked_short	event_return_3d	2024
97	bge_m3	short	masked_short	event_return_3d	2025
98	bge_m3	short	masked_short	event_return_3d	2026
99	bge_m3	short	masked_short	next_day_return	2018
100	bge_m3	short	masked_short	next_day_return	2019
101	bge_m3	short	masked_short	next_day_return	2020
102	bge_m3	short	masked_short	next_day_return	2021
103	bge_m3	short	masked_short	next_day_return	2022
104	bge_m3	short	masked_short	next_day_return	2023
105	bge_m3	short	masked_short	next_day_return	2024
106	bge_m3	short	masked_short	next_day_return	2025
107	bge_m3	short	masked_short	next_day_return	2026
108	bge_m3	long	long	event_return_3d	2018
109	bge_m3	long	long	event_return_3d	2019
110	bge_m3	long	long	event_return_3d	2020
111	bge_m3	long	long	event_return_3d	2021
112	bge_m3	long	long	event_return_3d	2022
113	bge_m3	long	long	event_return_3d	2023
114	bge_m3	long	long	event_return_3d	2024
115	bge_m3	long	long	event_return_3d	2025
116	bge_m3	long	long	event_return_3d	2026
117	bge_m3	long	long	next_day_return	2018
118	bge_m3	long	long	next_day_return	2019
119	bge_m3	long	long	next_day_return	2020
120	bge_m3	long	long	next_day_return	2021
121	bge_m3	long	long	next_day_return	2022
122	bge_m3	long	long	next_day_return	2023
123	bge_m3	long	long	next_day_return	2024
