task_id	embedding_root	model	variant	feature	target	regressor	run_mode	reducer	components	output
0	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	next_day_open_to_open_return	ridge	screen	none	0	reports/regression/pooled_embeddings/stock_day/bge_m3_short_title_body_full_concat_next_day_open_to_open_return_ridge_none_0_screen.json
1	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	next_day_open_to_open_return	ridge	screen	pca	128	reports/regression/pooled_embeddings/stock_day/bge_m3_short_title_body_full_concat_next_day_open_to_open_return_ridge_pca_128_screen.json
2	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	next_day_open_to_open_return	elasticnet_sgd	screen	none	0	reports/regression/pooled_embeddings/stock_day/bge_m3_short_title_body_full_concat_next_day_open_to_open_return_elasticnet_sgd_none_0_screen.json
3	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	next_day_open_to_open_return	elasticnet_sgd	screen	pca	128	reports/regression/pooled_embeddings/stock_day/bge_m3_short_title_body_full_concat_next_day_open_to_open_return_elasticnet_sgd_pca_128_screen.json
4	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	next_day_open_to_open_return	huber_sgd	screen	none	0	reports/regression/pooled_embeddings/stock_day/bge_m3_short_title_body_full_concat_next_day_open_to_open_return_huber_sgd_none_0_screen.json
5	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	next_day_open_to_open_return	huber_sgd	screen	pca	128	reports/regression/pooled_embeddings/stock_day/bge_m3_short_title_body_full_concat_next_day_open_to_open_return_huber_sgd_pca_128_screen.json
6	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	next_day_open_to_open_return	small_mlp	screen	none	0	reports/regression/pooled_embeddings/stock_day/bge_m3_short_title_body_full_concat_next_day_open_to_open_return_small_mlp_none_0_screen.json
7	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	next_day_open_to_open_return	small_mlp	screen	pca	128	reports/regression/pooled_embeddings/stock_day/bge_m3_short_title_body_full_concat_next_day_open_to_open_return_small_mlp_pca_128_screen.json
8	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	next_day_open_to_open_return	ridge	screen	none	0	reports/regression/pooled_embeddings/stock_day/bge_m3_masked_short_title_body_full_concat_next_day_open_to_open_return_ridge_none_0_screen.json
9	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	next_day_open_to_open_return	ridge	screen	pca	128	reports/regression/pooled_embeddings/stock_day/bge_m3_masked_short_title_body_full_concat_next_day_open_to_open_return_ridge_pca_128_screen.json
10	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	next_day_open_to_open_return	elasticnet_sgd	screen	none	0	reports/regression/pooled_embeddings/stock_day/bge_m3_masked_short_title_body_full_concat_next_day_open_to_open_return_elasticnet_sgd_none_0_screen.json
11	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	next_day_open_to_open_return	elasticnet_sgd	screen	pca	128	reports/regression/pooled_embeddings/stock_day/bge_m3_masked_short_title_body_full_concat_next_day_open_to_open_return_elasticnet_sgd_pca_128_screen.json
12	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	next_day_open_to_open_return	huber_sgd	screen	none	0	reports/regression/pooled_embeddings/stock_day/bge_m3_masked_short_title_body_full_concat_next_day_open_to_open_return_huber_sgd_none_0_screen.json
13	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	next_day_open_to_open_return	huber_sgd	screen	pca	128	reports/regression/pooled_embeddings/stock_day/bge_m3_masked_short_title_body_full_concat_next_day_open_to_open_return_huber_sgd_pca_128_screen.json
14	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	next_day_open_to_open_return	small_mlp	screen	none	0	reports/regression/pooled_embeddings/stock_day/bge_m3_masked_short_title_body_full_concat_next_day_open_to_open_return_small_mlp_none_0_screen.json
15	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	next_day_open_to_open_return	small_mlp	screen	pca	128	reports/regression/pooled_embeddings/stock_day/bge_m3_masked_short_title_body_full_concat_next_day_open_to_open_return_small_mlp_pca_128_screen.json
