task_id	embedding_root	model	variant	feature	target	regressor	run_mode	reducer	components	output
0	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_return	ridge	screen	pca	32	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_return_ridge_pca_32_screen.json
1	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_return	ridge	screen	pca	64	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_return_ridge_pca_64_screen.json
2	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_return	ridge	screen	pca	256	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_return_ridge_pca_256_screen.json
3	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_return	huber_sgd	screen	pca	32	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_return_huber_sgd_pca_32_screen.json
4	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_return	huber_sgd	screen	pca	64	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_return_huber_sgd_pca_64_screen.json
5	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_return	huber_sgd	screen	pca	256	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_return_huber_sgd_pca_256_screen.json
6	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_market_residual	ridge	screen	pca	32	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_market_residual_ridge_pca_32_screen.json
7	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_market_residual	ridge	screen	pca	64	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_market_residual_ridge_pca_64_screen.json
8	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_market_residual	ridge	screen	pca	128	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_market_residual_ridge_pca_128_screen.json
9	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_market_residual	ridge	screen	pca	256	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_market_residual_ridge_pca_256_screen.json
10	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_market_residual	huber_sgd	screen	pca	32	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_market_residual_huber_sgd_pca_32_screen.json
11	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_market_residual	huber_sgd	screen	pca	64	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_market_residual_huber_sgd_pca_64_screen.json
12	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_market_residual	huber_sgd	screen	pca	128	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_market_residual_huber_sgd_pca_128_screen.json
13	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_market_residual	huber_sgd	screen	pca	256	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_market_residual_huber_sgd_pca_256_screen.json
14	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_winsor_residual	ridge	screen	pca	32	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_winsor_residual_ridge_pca_32_screen.json
15	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_winsor_residual	ridge	screen	pca	64	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_winsor_residual_ridge_pca_64_screen.json
16	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_winsor_residual	ridge	screen	pca	128	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_winsor_residual_ridge_pca_128_screen.json
17	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_winsor_residual	ridge	screen	pca	256	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_winsor_residual_ridge_pca_256_screen.json
18	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	32	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_winsor_residual_huber_sgd_pca_32_screen.json
19	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	64	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_winsor_residual_huber_sgd_pca_64_screen.json
20	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	128	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_winsor_residual_huber_sgd_pca_128_screen.json
21	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	256	reports/regression/pooled_embeddings/stock_day/roberta_masked_short_title_body_full_concat_next_day_open_to_open_winsor_residual_huber_sgd_pca_256_screen.json
