task_id	embedding_root	model	variant	feature	target	regressor	run_mode	reducer	components	output
0	data/processed/pooled_embeddings_v3	roberta	short	body_mean	next_day_open_to_open_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2018_2026_mlp_fix/roberta_short_body_mean_small_mlp_none_0.json
1	data/processed/pooled_embeddings_v3	roberta	short	body_mean	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2018_2026_mlp_fix/roberta_short_body_mean_small_mlp_pca_128.json
2	data/processed/pooled_embeddings_v3	roberta	short	full_mean	next_day_open_to_open_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2018_2026_mlp_fix/roberta_short_full_mean_small_mlp_none_0.json
3	data/processed/pooled_embeddings_v3	roberta	short	full_mean	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2018_2026_mlp_fix/roberta_short_full_mean_small_mlp_pca_128.json
4	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	next_day_open_to_open_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2018_2026_mlp_fix/roberta_short_title_body_full_concat_small_mlp_none_0.json
5	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2018_2026_mlp_fix/roberta_short_title_body_full_concat_small_mlp_pca_128.json
6	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	next_day_open_to_open_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2018_2026_mlp_fix/roberta_masked_short_body_mean_small_mlp_none_0.json
7	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2018_2026_mlp_fix/roberta_masked_short_body_mean_small_mlp_pca_128.json
8	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	next_day_open_to_open_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2018_2026_mlp_fix/roberta_masked_short_full_mean_small_mlp_none_0.json
9	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2018_2026_mlp_fix/roberta_masked_short_full_mean_small_mlp_pca_128.json
10	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2018_2026_mlp_fix/roberta_masked_short_title_body_full_concat_small_mlp_none_0.json
11	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2018_2026_mlp_fix/roberta_masked_short_title_body_full_concat_small_mlp_pca_128.json
12	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	next_day_open_to_open_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2018_2026_mlp_fix/bge_m3_short_body_mean_small_mlp_none_0.json
13	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2018_2026_mlp_fix/bge_m3_short_body_mean_small_mlp_pca_128.json
14	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	next_day_open_to_open_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2018_2026_mlp_fix/bge_m3_short_full_mean_small_mlp_none_0.json
15	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2018_2026_mlp_fix/bge_m3_short_full_mean_small_mlp_pca_128.json
16	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	next_day_open_to_open_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/o2o_rolling_2018_2026_mlp_fix/bge_m3_short_title_body_full_concat_small_mlp_none_0.json
17	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	next_day_open_to_open_return	small_mlp	final-test	pca	128	reports/regression/pooled_embeddings/o2o_rolling_2018_2026_mlp_fix/bge_m3_short_title_body_full_concat_small_mlp_pca_128.json
