task_id	family	embedding_root	model	variant	feature	target	regressor	run_mode	reducer	components	search_stage	alphas	output
0	representation	data/processed/pooled_embeddings_v3	roberta	short	title_mean	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_short_title_mean_ridge_none_0_coarse.json
1	representation	data/processed/pooled_embeddings_v3	roberta	short	title_mean	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_short_title_mean_huber_sgd_none_0_coarse.json
2	representation	data/processed/pooled_embeddings_v3	roberta	short	body_mean	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_short_body_mean_ridge_none_0_coarse.json
3	representation	data/processed/pooled_embeddings_v3	roberta	short	body_mean	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_short_body_mean_huber_sgd_none_0_coarse.json
4	representation	data/processed/pooled_embeddings_v3	roberta	short	title_body_mean	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_short_title_body_mean_ridge_none_0_coarse.json
5	representation	data/processed/pooled_embeddings_v3	roberta	short	title_body_mean	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_short_title_body_mean_huber_sgd_none_0_coarse.json
6	representation	data/processed/pooled_embeddings_v3	roberta	short	full_mean	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_short_full_mean_ridge_none_0_coarse.json
7	representation	data/processed/pooled_embeddings_v3	roberta	short	full_mean	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_short_full_mean_huber_sgd_none_0_coarse.json
8	representation	data/processed/pooled_embeddings_v3	roberta	short	title_body_concat	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_short_title_body_concat_ridge_none_0_coarse.json
9	representation	data/processed/pooled_embeddings_v3	roberta	short	title_body_concat	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_short_title_body_concat_huber_sgd_none_0_coarse.json
10	representation	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_short_title_body_full_concat_ridge_none_0_coarse.json
11	representation	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_short_title_body_full_concat_huber_sgd_none_0_coarse.json
12	representation	data/processed/pooled_embeddings_v3	roberta	masked_short	title_mean	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_masked_short_title_mean_ridge_none_0_coarse.json
13	representation	data/processed/pooled_embeddings_v3	roberta	masked_short	title_mean	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_masked_short_title_mean_huber_sgd_none_0_coarse.json
14	representation	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_masked_short_body_mean_ridge_none_0_coarse.json
15	representation	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_masked_short_body_mean_huber_sgd_none_0_coarse.json
16	representation	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_mean	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_masked_short_title_body_mean_ridge_none_0_coarse.json
17	representation	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_mean	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_masked_short_title_body_mean_huber_sgd_none_0_coarse.json
18	representation	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_masked_short_full_mean_ridge_none_0_coarse.json
19	representation	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_masked_short_full_mean_huber_sgd_none_0_coarse.json
20	representation	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_concat	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_masked_short_title_body_concat_ridge_none_0_coarse.json
21	representation	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_concat	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_masked_short_title_body_concat_huber_sgd_none_0_coarse.json
22	representation	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_masked_short_title_body_full_concat_ridge_none_0_coarse.json
23	representation	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	next_day_return	huber_sgd	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/roberta_masked_short_title_body_full_concat_huber_sgd_none_0_coarse.json
24	representation	data/processed/pooled_embeddings_v3	bge_m3	short	title_mean	next_day_return	ridge	screen	none	0	coarse	0.1,1,10,100,1000,10000	reports/regression/overnight_v1/bge_m3_short_title_mean_ridge_none_0_coarse.json
