task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	output
0	screening	data/processed/pooled_embeddings_v3	bge_m3	short	title_mean	logistic	none	0	reports/classification/pooled_embeddings/screening/bge_m3_short_title_mean_logistic_none_0.json
1	screening	data/processed/pooled_embeddings_v3	bge_m3	short	title_mean	logistic	pca	128	reports/classification/pooled_embeddings/screening/bge_m3_short_title_mean_logistic_pca_128.json
2	screening	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	logistic	none	0	reports/classification/pooled_embeddings/screening/bge_m3_short_body_mean_logistic_none_0.json
3	screening	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	logistic	pca	128	reports/classification/pooled_embeddings/screening/bge_m3_short_body_mean_logistic_pca_128.json
4	screening	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	logistic	none	0	reports/classification/pooled_embeddings/screening/bge_m3_short_full_mean_logistic_none_0.json
5	screening	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	logistic	pca	128	reports/classification/pooled_embeddings/screening/bge_m3_short_full_mean_logistic_pca_128.json
6	screening	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_mean	logistic	none	0	reports/classification/pooled_embeddings/screening/bge_m3_masked_short_title_mean_logistic_none_0.json
7	screening	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_mean	logistic	pca	128	reports/classification/pooled_embeddings/screening/bge_m3_masked_short_title_mean_logistic_pca_128.json
8	screening	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	logistic	none	0	reports/classification/pooled_embeddings/screening/bge_m3_masked_short_body_mean_logistic_none_0.json
9	screening	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	logistic	pca	128	reports/classification/pooled_embeddings/screening/bge_m3_masked_short_body_mean_logistic_pca_128.json
10	screening	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	logistic	none	0	reports/classification/pooled_embeddings/screening/bge_m3_masked_short_full_mean_logistic_none_0.json
11	screening	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	logistic	pca	128	reports/classification/pooled_embeddings/screening/bge_m3_masked_short_full_mean_logistic_pca_128.json
