task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	output
0	triple_models	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	linear_svm	none	0	reports/classification/pooled_embeddings/triple_models/bge_m3_short_title_body_full_concat_linear_svm_none_0.json
1	triple_models	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	linear_svm	pca	128	reports/classification/pooled_embeddings/triple_models/bge_m3_short_title_body_full_concat_linear_svm_pca_128.json
2	triple_models	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	sgd	none	0	reports/classification/pooled_embeddings/triple_models/bge_m3_short_title_body_full_concat_sgd_none_0.json
3	triple_models	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	sgd	pca	128	reports/classification/pooled_embeddings/triple_models/bge_m3_short_title_body_full_concat_sgd_pca_128.json
4	triple_models	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	mlp	none	0	reports/classification/pooled_embeddings/triple_models/bge_m3_short_title_body_full_concat_mlp_none_0.json
5	triple_models	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	mlp	pca	128	reports/classification/pooled_embeddings/triple_models/bge_m3_short_title_body_full_concat_mlp_pca_128.json
6	triple_models	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	linear_svm	none	0	reports/classification/pooled_embeddings/triple_models/bge_m3_masked_short_title_body_full_concat_linear_svm_none_0.json
7	triple_models	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	linear_svm	pca	128	reports/classification/pooled_embeddings/triple_models/bge_m3_masked_short_title_body_full_concat_linear_svm_pca_128.json
8	triple_models	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	sgd	none	0	reports/classification/pooled_embeddings/triple_models/bge_m3_masked_short_title_body_full_concat_sgd_none_0.json
9	triple_models	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	sgd	pca	128	reports/classification/pooled_embeddings/triple_models/bge_m3_masked_short_title_body_full_concat_sgd_pca_128.json
10	triple_models	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	mlp	none	0	reports/classification/pooled_embeddings/triple_models/bge_m3_masked_short_title_body_full_concat_mlp_none_0.json
11	triple_models	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	mlp	pca	128	reports/classification/pooled_embeddings/triple_models/bge_m3_masked_short_title_body_full_concat_mlp_pca_128.json
