task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	output
0	complex_pooling	data/processed/pooled_embeddings_v3	roberta	short	title_body_mean	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/roberta_short_title_body_mean_logistic_none_0.json
1	complex_pooling	data/processed/pooled_embeddings_v3	roberta	short	title_body_concat	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/roberta_short_title_body_concat_logistic_none_0.json
2	complex_pooling	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/roberta_short_title_body_full_concat_logistic_none_0.json
3	complex_pooling	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_mean	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/bge_m3_short_title_body_mean_logistic_none_0.json
4	complex_pooling	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_concat	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/bge_m3_short_title_body_concat_logistic_none_0.json
5	complex_pooling	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/bge_m3_short_title_body_full_concat_logistic_none_0.json
6	complex_pooling	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_mean	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/roberta_masked_short_title_body_mean_logistic_none_0.json
7	complex_pooling	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_concat	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/roberta_masked_short_title_body_concat_logistic_none_0.json
8	complex_pooling	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/roberta_masked_short_title_body_full_concat_logistic_none_0.json
9	complex_pooling	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_mean	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/bge_m3_masked_short_title_body_mean_logistic_none_0.json
10	complex_pooling	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_concat	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/bge_m3_masked_short_title_body_concat_logistic_none_0.json
11	complex_pooling	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/bge_m3_masked_short_title_body_full_concat_logistic_none_0.json
12	complex_pooling	data/processed/pooled_long_embeddings_v4	roberta	long	title_body_mean	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/roberta_long_title_body_mean_logistic_none_0.json
13	complex_pooling	data/processed/pooled_long_embeddings_v4	roberta	long	title_body_concat	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/roberta_long_title_body_concat_logistic_none_0.json
14	complex_pooling	data/processed/pooled_long_embeddings_v4	roberta	long	title_body_full_concat	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/roberta_long_title_body_full_concat_logistic_none_0.json
15	complex_pooling	data/processed/pooled_long_embeddings_v4	bge_m3	long	title_body_mean	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/bge_m3_long_title_body_mean_logistic_none_0.json
16	complex_pooling	data/processed/pooled_long_embeddings_v4	bge_m3	long	title_body_concat	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/bge_m3_long_title_body_concat_logistic_none_0.json
17	complex_pooling	data/processed/pooled_long_embeddings_v4	bge_m3	long	title_body_full_concat	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/bge_m3_long_title_body_full_concat_logistic_none_0.json
18	complex_pooling	data/processed/pooled_long_embeddings_v4	roberta	masked_long	title_body_mean	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/roberta_masked_long_title_body_mean_logistic_none_0.json
19	complex_pooling	data/processed/pooled_long_embeddings_v4	roberta	masked_long	title_body_concat	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/roberta_masked_long_title_body_concat_logistic_none_0.json
20	complex_pooling	data/processed/pooled_long_embeddings_v4	roberta	masked_long	title_body_full_concat	logistic	none	0	reports/classification/pooled_embeddings/complex_pooling/roberta_masked_long_title_body_full_concat_logistic_none_0.json
