task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	output
0	linear	data/processed/pooled_embeddings_v3	roberta	short	title_mean	linear_svm	pca	128	reports/classification/pooled_embeddings/linear/roberta_short_title_mean_linear_svm_pca_128.json
1	linear	data/processed/pooled_embeddings_v3	roberta	short	title_mean	sgd	none	0	reports/classification/pooled_embeddings/linear/roberta_short_title_mean_sgd_none_0.json
2	linear	data/processed/pooled_embeddings_v3	roberta	short	title_mean	sgd	pca	128	reports/classification/pooled_embeddings/linear/roberta_short_title_mean_sgd_pca_128.json
3	linear	data/processed/pooled_embeddings_v3	roberta	short	body_mean	linear_svm	pca	128	reports/classification/pooled_embeddings/linear/roberta_short_body_mean_linear_svm_pca_128.json
4	linear	data/processed/pooled_embeddings_v3	roberta	short	body_mean	sgd	none	0	reports/classification/pooled_embeddings/linear/roberta_short_body_mean_sgd_none_0.json
5	linear	data/processed/pooled_embeddings_v3	roberta	short	body_mean	sgd	pca	128	reports/classification/pooled_embeddings/linear/roberta_short_body_mean_sgd_pca_128.json
6	linear	data/processed/pooled_embeddings_v3	roberta	short	full_mean	linear_svm	pca	128	reports/classification/pooled_embeddings/linear/roberta_short_full_mean_linear_svm_pca_128.json
7	linear	data/processed/pooled_embeddings_v3	roberta	short	full_mean	sgd	none	0	reports/classification/pooled_embeddings/linear/roberta_short_full_mean_sgd_none_0.json
8	linear	data/processed/pooled_embeddings_v3	roberta	short	full_mean	sgd	pca	128	reports/classification/pooled_embeddings/linear/roberta_short_full_mean_sgd_pca_128.json
9	linear	data/processed/pooled_embeddings_v3	bge_m3	short	title_mean	linear_svm	pca	128	reports/classification/pooled_embeddings/linear/bge_m3_short_title_mean_linear_svm_pca_128.json
10	linear	data/processed/pooled_embeddings_v3	bge_m3	short	title_mean	sgd	none	0	reports/classification/pooled_embeddings/linear/bge_m3_short_title_mean_sgd_none_0.json
11	linear	data/processed/pooled_embeddings_v3	bge_m3	short	title_mean	sgd	pca	128	reports/classification/pooled_embeddings/linear/bge_m3_short_title_mean_sgd_pca_128.json
12	linear	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	linear_svm	pca	128	reports/classification/pooled_embeddings/linear/bge_m3_short_body_mean_linear_svm_pca_128.json
