task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	output	train_target	evaluation_target
0	next1_core	data/processed/pooled_embeddings_v3	roberta	short	body_mean	logistic	none	0	reports/classification/pooled_embeddings/next1_core/roberta_short_body_mean_logistic_none_0.json	next_day_return	next_day_return
1	next1_core	data/processed/pooled_embeddings_v3	roberta	short	body_mean	mlp	none	0	reports/classification/pooled_embeddings/next1_core/roberta_short_body_mean_mlp_none_0.json	next_day_return	next_day_return
2	next1_core	data/processed/pooled_embeddings_v3	roberta	short	full_mean	logistic	none	0	reports/classification/pooled_embeddings/next1_core/roberta_short_full_mean_logistic_none_0.json	next_day_return	next_day_return
3	next1_core	data/processed/pooled_embeddings_v3	roberta	short	full_mean	mlp	none	0	reports/classification/pooled_embeddings/next1_core/roberta_short_full_mean_mlp_none_0.json	next_day_return	next_day_return
4	next1_core	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	logistic	none	0	reports/classification/pooled_embeddings/next1_core/roberta_short_title_body_full_concat_logistic_none_0.json	next_day_return	next_day_return
5	next1_core	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	mlp	none	0	reports/classification/pooled_embeddings/next1_core/roberta_short_title_body_full_concat_mlp_none_0.json	next_day_return	next_day_return
6	next1_core	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	logistic	none	0	reports/classification/pooled_embeddings/next1_core/bge_m3_short_body_mean_logistic_none_0.json	next_day_return	next_day_return
7	next1_core	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	mlp	none	0	reports/classification/pooled_embeddings/next1_core/bge_m3_short_body_mean_mlp_none_0.json	next_day_return	next_day_return
8	next1_core	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	logistic	none	0	reports/classification/pooled_embeddings/next1_core/bge_m3_short_full_mean_logistic_none_0.json	next_day_return	next_day_return
9	next1_core	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	mlp	none	0	reports/classification/pooled_embeddings/next1_core/bge_m3_short_full_mean_mlp_none_0.json	next_day_return	next_day_return
10	next1_core	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	logistic	none	0	reports/classification/pooled_embeddings/next1_core/bge_m3_short_title_body_full_concat_logistic_none_0.json	next_day_return	next_day_return
11	next1_core	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	mlp	none	0	reports/classification/pooled_embeddings/next1_core/bge_m3_short_title_body_full_concat_mlp_none_0.json	next_day_return	next_day_return
12	next1_core	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	logistic	none	0	reports/classification/pooled_embeddings/next1_core/roberta_masked_short_body_mean_logistic_none_0.json	next_day_return	next_day_return
13	next1_core	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	mlp	none	0	reports/classification/pooled_embeddings/next1_core/roberta_masked_short_body_mean_mlp_none_0.json	next_day_return	next_day_return
14	next1_core	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	logistic	none	0	reports/classification/pooled_embeddings/next1_core/roberta_masked_short_full_mean_logistic_none_0.json	next_day_return	next_day_return
15	next1_core	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	mlp	none	0	reports/classification/pooled_embeddings/next1_core/roberta_masked_short_full_mean_mlp_none_0.json	next_day_return	next_day_return
16	next1_core	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	logistic	none	0	reports/classification/pooled_embeddings/next1_core/roberta_masked_short_title_body_full_concat_logistic_none_0.json	next_day_return	next_day_return
17	next1_core	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	mlp	none	0	reports/classification/pooled_embeddings/next1_core/roberta_masked_short_title_body_full_concat_mlp_none_0.json	next_day_return	next_day_return
18	next1_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	logistic	none	0	reports/classification/pooled_embeddings/next1_core/bge_m3_masked_short_body_mean_logistic_none_0.json	next_day_return	next_day_return
19	next1_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	mlp	none	0	reports/classification/pooled_embeddings/next1_core/bge_m3_masked_short_body_mean_mlp_none_0.json	next_day_return	next_day_return
20	next1_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	logistic	none	0	reports/classification/pooled_embeddings/next1_core/bge_m3_masked_short_full_mean_logistic_none_0.json	next_day_return	next_day_return
21	next1_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	mlp	none	0	reports/classification/pooled_embeddings/next1_core/bge_m3_masked_short_full_mean_mlp_none_0.json	next_day_return	next_day_return
22	next1_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	logistic	none	0	reports/classification/pooled_embeddings/next1_core/bge_m3_masked_short_title_body_full_concat_logistic_none_0.json	next_day_return	next_day_return
23	next1_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	mlp	none	0	reports/classification/pooled_embeddings/next1_core/bge_m3_masked_short_title_body_full_concat_mlp_none_0.json	next_day_return	next_day_return
