task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	search_stage	seed	output	train_target	evaluation_target
0	next1_strong_screen	data/processed/pooled_embeddings_v3	roberta	short	body_mean	hist_gradient_boosting	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/roberta_short_body_mean_hist_gradient_boosting_none_0_seed42.json	next_day_return	next_day_return
1	next1_strong_screen	data/processed/pooled_embeddings_v3	roberta	short	body_mean	extra_trees	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/roberta_short_body_mean_extra_trees_none_0_seed42.json	next_day_return	next_day_return
2	next1_strong_screen	data/processed/pooled_embeddings_v3	roberta	short	body_mean	xgboost	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/roberta_short_body_mean_xgboost_none_0_seed42.json	next_day_return	next_day_return
3	next1_strong_screen	data/processed/pooled_embeddings_v3	roberta	short	body_mean	lightgbm	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/roberta_short_body_mean_lightgbm_none_0_seed42.json	next_day_return	next_day_return
4	next1_strong_screen	data/processed/pooled_embeddings_v3	roberta	short	body_mean	catboost	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/roberta_short_body_mean_catboost_none_0_seed42.json	next_day_return	next_day_return
5	next1_strong_screen	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	hist_gradient_boosting	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/roberta_masked_short_body_mean_hist_gradient_boosting_none_0_seed42.json	next_day_return	next_day_return
6	next1_strong_screen	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	extra_trees	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/roberta_masked_short_body_mean_extra_trees_none_0_seed42.json	next_day_return	next_day_return
7	next1_strong_screen	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	xgboost	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/roberta_masked_short_body_mean_xgboost_none_0_seed42.json	next_day_return	next_day_return
8	next1_strong_screen	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	lightgbm	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/roberta_masked_short_body_mean_lightgbm_none_0_seed42.json	next_day_return	next_day_return
9	next1_strong_screen	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	catboost	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/roberta_masked_short_body_mean_catboost_none_0_seed42.json	next_day_return	next_day_return
10	next1_strong_screen	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	hist_gradient_boosting	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/bge_m3_masked_short_body_mean_hist_gradient_boosting_none_0_seed42.json	next_day_return	next_day_return
11	next1_strong_screen	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	extra_trees	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/bge_m3_masked_short_body_mean_extra_trees_none_0_seed42.json	next_day_return	next_day_return
12	next1_strong_screen	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	xgboost	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/bge_m3_masked_short_body_mean_xgboost_none_0_seed42.json	next_day_return	next_day_return
13	next1_strong_screen	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	lightgbm	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/bge_m3_masked_short_body_mean_lightgbm_none_0_seed42.json	next_day_return	next_day_return
14	next1_strong_screen	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	catboost	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/bge_m3_masked_short_body_mean_catboost_none_0_seed42.json	next_day_return	next_day_return
15	next1_strong_screen	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	hist_gradient_boosting	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/roberta_masked_short_title_body_full_concat_hist_gradient_boosting_none_0_seed42.json	next_day_return	next_day_return
16	next1_strong_screen	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	extra_trees	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/roberta_masked_short_title_body_full_concat_extra_trees_none_0_seed42.json	next_day_return	next_day_return
17	next1_strong_screen	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	xgboost	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/roberta_masked_short_title_body_full_concat_xgboost_none_0_seed42.json	next_day_return	next_day_return
18	next1_strong_screen	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	lightgbm	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/roberta_masked_short_title_body_full_concat_lightgbm_none_0_seed42.json	next_day_return	next_day_return
19	next1_strong_screen	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	catboost	none	0	coarse	42	reports/classification/pooled_embeddings/next1_strong_screen/roberta_masked_short_title_body_full_concat_catboost_none_0_seed42.json	next_day_return	next_day_return
