task_id	embedding_root	model	variant	feature	classifier	gate_method	gate_keep	output
0	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	logistic	fisher	1	reports/classification/pooled_embeddings/segment_gating/roberta_short_title_body_full_concat_fisher_keep1_logistic.json
1	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	simple_mlp	fisher	1	reports/classification/pooled_embeddings/segment_gating/roberta_short_title_body_full_concat_fisher_keep1_simple_mlp.json
2	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	logistic	fisher	2	reports/classification/pooled_embeddings/segment_gating/roberta_short_title_body_full_concat_fisher_keep2_logistic.json
3	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	simple_mlp	fisher	2	reports/classification/pooled_embeddings/segment_gating/roberta_short_title_body_full_concat_fisher_keep2_simple_mlp.json
4	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	logistic	variance	1	reports/classification/pooled_embeddings/segment_gating/roberta_short_title_body_full_concat_variance_keep1_logistic.json
5	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	simple_mlp	variance	1	reports/classification/pooled_embeddings/segment_gating/roberta_short_title_body_full_concat_variance_keep1_simple_mlp.json
6	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	logistic	variance	2	reports/classification/pooled_embeddings/segment_gating/roberta_short_title_body_full_concat_variance_keep2_logistic.json
7	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	simple_mlp	variance	2	reports/classification/pooled_embeddings/segment_gating/roberta_short_title_body_full_concat_variance_keep2_simple_mlp.json
8	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	logistic	logistic_l1	1	reports/classification/pooled_embeddings/segment_gating/roberta_short_title_body_full_concat_logistic_l1_keep1_logistic.json
9	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	simple_mlp	logistic_l1	1	reports/classification/pooled_embeddings/segment_gating/roberta_short_title_body_full_concat_logistic_l1_keep1_simple_mlp.json
10	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	logistic	logistic_l1	2	reports/classification/pooled_embeddings/segment_gating/roberta_short_title_body_full_concat_logistic_l1_keep2_logistic.json
11	data/processed/pooled_embeddings_v3	roberta	short	title_body_full_concat	simple_mlp	logistic_l1	2	reports/classification/pooled_embeddings/segment_gating/roberta_short_title_body_full_concat_logistic_l1_keep2_simple_mlp.json
12	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	logistic	fisher	1	reports/classification/pooled_embeddings/segment_gating/roberta_masked_short_title_body_full_concat_fisher_keep1_logistic.json
13	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	simple_mlp	fisher	1	reports/classification/pooled_embeddings/segment_gating/roberta_masked_short_title_body_full_concat_fisher_keep1_simple_mlp.json
14	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	logistic	fisher	2	reports/classification/pooled_embeddings/segment_gating/roberta_masked_short_title_body_full_concat_fisher_keep2_logistic.json
15	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	simple_mlp	fisher	2	reports/classification/pooled_embeddings/segment_gating/roberta_masked_short_title_body_full_concat_fisher_keep2_simple_mlp.json
16	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	logistic	variance	1	reports/classification/pooled_embeddings/segment_gating/roberta_masked_short_title_body_full_concat_variance_keep1_logistic.json
17	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	simple_mlp	variance	1	reports/classification/pooled_embeddings/segment_gating/roberta_masked_short_title_body_full_concat_variance_keep1_simple_mlp.json
18	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	logistic	variance	2	reports/classification/pooled_embeddings/segment_gating/roberta_masked_short_title_body_full_concat_variance_keep2_logistic.json
19	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	simple_mlp	variance	2	reports/classification/pooled_embeddings/segment_gating/roberta_masked_short_title_body_full_concat_variance_keep2_simple_mlp.json
20	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	logistic	logistic_l1	1	reports/classification/pooled_embeddings/segment_gating/roberta_masked_short_title_body_full_concat_logistic_l1_keep1_logistic.json
21	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	simple_mlp	logistic_l1	1	reports/classification/pooled_embeddings/segment_gating/roberta_masked_short_title_body_full_concat_logistic_l1_keep1_simple_mlp.json
22	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	logistic	logistic_l1	2	reports/classification/pooled_embeddings/segment_gating/roberta_masked_short_title_body_full_concat_logistic_l1_keep2_logistic.json
23	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	simple_mlp	logistic_l1	2	reports/classification/pooled_embeddings/segment_gating/roberta_masked_short_title_body_full_concat_logistic_l1_keep2_simple_mlp.json
24	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	logistic	fisher	1	reports/classification/pooled_embeddings/segment_gating/bge_m3_short_title_body_full_concat_fisher_keep1_logistic.json
25	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	simple_mlp	fisher	1	reports/classification/pooled_embeddings/segment_gating/bge_m3_short_title_body_full_concat_fisher_keep1_simple_mlp.json
26	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	logistic	fisher	2	reports/classification/pooled_embeddings/segment_gating/bge_m3_short_title_body_full_concat_fisher_keep2_logistic.json
27	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	simple_mlp	fisher	2	reports/classification/pooled_embeddings/segment_gating/bge_m3_short_title_body_full_concat_fisher_keep2_simple_mlp.json
28	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	logistic	variance	1	reports/classification/pooled_embeddings/segment_gating/bge_m3_short_title_body_full_concat_variance_keep1_logistic.json
29	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	simple_mlp	variance	1	reports/classification/pooled_embeddings/segment_gating/bge_m3_short_title_body_full_concat_variance_keep1_simple_mlp.json
30	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	logistic	variance	2	reports/classification/pooled_embeddings/segment_gating/bge_m3_short_title_body_full_concat_variance_keep2_logistic.json
31	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	simple_mlp	variance	2	reports/classification/pooled_embeddings/segment_gating/bge_m3_short_title_body_full_concat_variance_keep2_simple_mlp.json
32	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	logistic	logistic_l1	1	reports/classification/pooled_embeddings/segment_gating/bge_m3_short_title_body_full_concat_logistic_l1_keep1_logistic.json
33	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	simple_mlp	logistic_l1	1	reports/classification/pooled_embeddings/segment_gating/bge_m3_short_title_body_full_concat_logistic_l1_keep1_simple_mlp.json
34	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	logistic	logistic_l1	2	reports/classification/pooled_embeddings/segment_gating/bge_m3_short_title_body_full_concat_logistic_l1_keep2_logistic.json
35	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	simple_mlp	logistic_l1	2	reports/classification/pooled_embeddings/segment_gating/bge_m3_short_title_body_full_concat_logistic_l1_keep2_simple_mlp.json
36	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	logistic	fisher	1	reports/classification/pooled_embeddings/segment_gating/bge_m3_masked_short_title_body_full_concat_fisher_keep1_logistic.json
37	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	simple_mlp	fisher	1	reports/classification/pooled_embeddings/segment_gating/bge_m3_masked_short_title_body_full_concat_fisher_keep1_simple_mlp.json
38	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	logistic	fisher	2	reports/classification/pooled_embeddings/segment_gating/bge_m3_masked_short_title_body_full_concat_fisher_keep2_logistic.json
39	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	simple_mlp	fisher	2	reports/classification/pooled_embeddings/segment_gating/bge_m3_masked_short_title_body_full_concat_fisher_keep2_simple_mlp.json
40	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	logistic	variance	1	reports/classification/pooled_embeddings/segment_gating/bge_m3_masked_short_title_body_full_concat_variance_keep1_logistic.json
41	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	simple_mlp	variance	1	reports/classification/pooled_embeddings/segment_gating/bge_m3_masked_short_title_body_full_concat_variance_keep1_simple_mlp.json
42	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	logistic	variance	2	reports/classification/pooled_embeddings/segment_gating/bge_m3_masked_short_title_body_full_concat_variance_keep2_logistic.json
43	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	simple_mlp	variance	2	reports/classification/pooled_embeddings/segment_gating/bge_m3_masked_short_title_body_full_concat_variance_keep2_simple_mlp.json
44	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	logistic	logistic_l1	1	reports/classification/pooled_embeddings/segment_gating/bge_m3_masked_short_title_body_full_concat_logistic_l1_keep1_logistic.json
45	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	simple_mlp	logistic_l1	1	reports/classification/pooled_embeddings/segment_gating/bge_m3_masked_short_title_body_full_concat_logistic_l1_keep1_simple_mlp.json
46	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	logistic	logistic_l1	2	reports/classification/pooled_embeddings/segment_gating/bge_m3_masked_short_title_body_full_concat_logistic_l1_keep2_logistic.json
47	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	simple_mlp	logistic_l1	2	reports/classification/pooled_embeddings/segment_gating/bge_m3_masked_short_title_body_full_concat_logistic_l1_keep2_simple_mlp.json
