task_id	variant	feature	matrix	metadata	classifier	output
0	masked_short	prompt_pca128_body	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/prompt_pca128_body.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/metadata.parquet	mlp	reports/classification/prompt_pca_segment_fusion_complex/roberta_masked_short_prompt_pca128_body_mlp.json
1	masked_short	prompt_pca128_body	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/prompt_pca128_body.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/metadata.parquet	xgboost	reports/classification/prompt_pca_segment_fusion_complex/roberta_masked_short_prompt_pca128_body_xgboost.json
2	masked_short	prompt_pca128_body	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/prompt_pca128_body.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/metadata.parquet	hist_gradient_boosting	reports/classification/prompt_pca_segment_fusion_complex/roberta_masked_short_prompt_pca128_body_hist_gradient_boosting.json
3	short	prompt_pca128_body	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/short/prompt_pca128_body.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/short/metadata.parquet	mlp	reports/classification/prompt_pca_segment_fusion_complex/roberta_short_prompt_pca128_body_mlp.json
4	short	prompt_pca128_body	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/short/prompt_pca128_body.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/short/metadata.parquet	xgboost	reports/classification/prompt_pca_segment_fusion_complex/roberta_short_prompt_pca128_body_xgboost.json
5	short	prompt_pca128_body	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/short/prompt_pca128_body.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/short/metadata.parquet	hist_gradient_boosting	reports/classification/prompt_pca_segment_fusion_complex/roberta_short_prompt_pca128_body_hist_gradient_boosting.json
6	masked_short	prompt_pca128_title_body	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/prompt_pca128_title_body.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/metadata.parquet	mlp	reports/classification/prompt_pca_segment_fusion_complex/roberta_masked_short_prompt_pca128_title_body_mlp.json
7	masked_short	prompt_pca128_title_body	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/prompt_pca128_title_body.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/metadata.parquet	xgboost	reports/classification/prompt_pca_segment_fusion_complex/roberta_masked_short_prompt_pca128_title_body_xgboost.json
8	masked_short	prompt_pca128_title_body	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/prompt_pca128_title_body.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/metadata.parquet	hist_gradient_boosting	reports/classification/prompt_pca_segment_fusion_complex/roberta_masked_short_prompt_pca128_title_body_hist_gradient_boosting.json
9	masked_short	prompt_pca128_title	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/prompt_pca128_title.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/metadata.parquet	mlp	reports/classification/prompt_pca_segment_fusion_complex/roberta_masked_short_prompt_pca128_title_mlp.json
10	masked_short	prompt_pca128_title	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/prompt_pca128_title.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/metadata.parquet	xgboost	reports/classification/prompt_pca_segment_fusion_complex/roberta_masked_short_prompt_pca128_title_xgboost.json
11	masked_short	prompt_pca128_title	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/prompt_pca128_title.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/metadata.parquet	hist_gradient_boosting	reports/classification/prompt_pca_segment_fusion_complex/roberta_masked_short_prompt_pca128_title_hist_gradient_boosting.json
