task_id	variant	feature	matrix	metadata	classifier	output
0	short	prompt_pca128_title	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/short/prompt_pca128_title.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/short/metadata.parquet	logistic	reports/classification/prompt_pca_segment_fusion/roberta_short_prompt_pca128_title_logistic.json
1	short	prompt_pca128_title	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/short/prompt_pca128_title.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/short/metadata.parquet	simple_mlp	reports/classification/prompt_pca_segment_fusion/roberta_short_prompt_pca128_title_simple_mlp.json
2	short	prompt_pca128_body	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/short/prompt_pca128_body.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/short/metadata.parquet	logistic	reports/classification/prompt_pca_segment_fusion/roberta_short_prompt_pca128_body_logistic.json
3	short	prompt_pca128_body	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/short/prompt_pca128_body.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/short/metadata.parquet	simple_mlp	reports/classification/prompt_pca_segment_fusion/roberta_short_prompt_pca128_body_simple_mlp.json
4	short	prompt_pca128_title_body	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/short/prompt_pca128_title_body.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/short/metadata.parquet	logistic	reports/classification/prompt_pca_segment_fusion/roberta_short_prompt_pca128_title_body_logistic.json
5	short	prompt_pca128_title_body	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/short/prompt_pca128_title_body.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/short/metadata.parquet	simple_mlp	reports/classification/prompt_pca_segment_fusion/roberta_short_prompt_pca128_title_body_simple_mlp.json
6	masked_short	prompt_pca128_title	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/prompt_pca128_title.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/metadata.parquet	logistic	reports/classification/prompt_pca_segment_fusion/roberta_masked_short_prompt_pca128_title_logistic.json
7	masked_short	prompt_pca128_title	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/prompt_pca128_title.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/metadata.parquet	simple_mlp	reports/classification/prompt_pca_segment_fusion/roberta_masked_short_prompt_pca128_title_simple_mlp.json
8	masked_short	prompt_pca128_body	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/prompt_pca128_body.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/metadata.parquet	logistic	reports/classification/prompt_pca_segment_fusion/roberta_masked_short_prompt_pca128_body_logistic.json
9	masked_short	prompt_pca128_body	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/prompt_pca128_body.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/metadata.parquet	simple_mlp	reports/classification/prompt_pca_segment_fusion/roberta_masked_short_prompt_pca128_body_simple_mlp.json
10	masked_short	prompt_pca128_title_body	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/prompt_pca128_title_body.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/metadata.parquet	logistic	reports/classification/prompt_pca_segment_fusion/roberta_masked_short_prompt_pca128_title_body_logistic.json
11	masked_short	prompt_pca128_title_body	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/prompt_pca128_title_body.npy	data/processed/prompt_pca_segment_features_2010_2026_clean_v1/roberta/masked_short/metadata.parquet	simple_mlp	reports/classification/prompt_pca_segment_fusion/roberta_masked_short_prompt_pca128_title_body_simple_mlp.json
