task_id	model	variant	target	method	keep_tokens	output
0	roberta	short	next_day_return	fisher	8	reports/prompt_token_rankings_v5/roberta_short_next_day_return_fisher_keep8.json
1	roberta	short	next_day_return	variance	8	reports/prompt_token_rankings_v5/roberta_short_next_day_return_variance_keep8.json
2	roberta	short	event_return_3d	fisher	8	reports/prompt_token_rankings_v5/roberta_short_event_return_3d_fisher_keep8.json
3	roberta	short	event_return_3d	variance	8	reports/prompt_token_rankings_v5/roberta_short_event_return_3d_variance_keep8.json
4	roberta	masked_short	next_day_return	fisher	8	reports/prompt_token_rankings_v5/roberta_masked_short_next_day_return_fisher_keep8.json
5	roberta	masked_short	next_day_return	variance	8	reports/prompt_token_rankings_v5/roberta_masked_short_next_day_return_variance_keep8.json
6	roberta	masked_short	event_return_3d	fisher	8	reports/prompt_token_rankings_v5/roberta_masked_short_event_return_3d_fisher_keep8.json
7	roberta	masked_short	event_return_3d	variance	8	reports/prompt_token_rankings_v5/roberta_masked_short_event_return_3d_variance_keep8.json
8	bge_m3	short	next_day_return	fisher	8	reports/prompt_token_rankings_v5/bge_m3_short_next_day_return_fisher_keep8.json
9	bge_m3	short	next_day_return	variance	8	reports/prompt_token_rankings_v5/bge_m3_short_next_day_return_variance_keep8.json
10	bge_m3	short	event_return_3d	fisher	8	reports/prompt_token_rankings_v5/bge_m3_short_event_return_3d_fisher_keep8.json
11	bge_m3	short	event_return_3d	variance	8	reports/prompt_token_rankings_v5/bge_m3_short_event_return_3d_variance_keep8.json
12	bge_m3	masked_short	next_day_return	fisher	8	reports/prompt_token_rankings_v5/bge_m3_masked_short_next_day_return_fisher_keep8.json
13	bge_m3	masked_short	next_day_return	variance	8	reports/prompt_token_rankings_v5/bge_m3_masked_short_next_day_return_variance_keep8.json
14	bge_m3	masked_short	event_return_3d	fisher	8	reports/prompt_token_rankings_v5/bge_m3_masked_short_event_return_3d_fisher_keep8.json
15	bge_m3	masked_short	event_return_3d	variance	8	reports/prompt_token_rankings_v5/bge_m3_masked_short_event_return_3d_variance_keep8.json
