task_id	task	gate_method	gate_keep	seed	output
0	classification	fisher	1	42	reports/dynamic_prompt/o2o_topk_overnight_20260811/roberta_masked_short_fisher_top1_classification_seed42.json
1	classification	fisher	2	42	reports/dynamic_prompt/o2o_topk_overnight_20260811/roberta_masked_short_fisher_top2_classification_seed42.json
2	classification	fisher	8	42	reports/dynamic_prompt/o2o_topk_overnight_20260811/roberta_masked_short_fisher_top8_classification_seed42.json
3	classification	variance	1	42	reports/dynamic_prompt/o2o_topk_overnight_20260811/roberta_masked_short_variance_top1_classification_seed42.json
4	classification	variance	2	42	reports/dynamic_prompt/o2o_topk_overnight_20260811/roberta_masked_short_variance_top2_classification_seed42.json
5	classification	variance	8	42	reports/dynamic_prompt/o2o_topk_overnight_20260811/roberta_masked_short_variance_top8_classification_seed42.json
6	classification	first	4	42	reports/dynamic_prompt/o2o_topk_overnight_20260811/roberta_masked_short_first4_classification_seed42.json
7	classification	random	4	13	reports/dynamic_prompt/o2o_topk_overnight_20260811/roberta_masked_short_random4_classification_seed13.json
8	classification	random	4	42	reports/dynamic_prompt/o2o_topk_overnight_20260811/roberta_masked_short_random4_classification_seed42.json
9	classification	random	4	2026	reports/dynamic_prompt/o2o_topk_overnight_20260811/roberta_masked_short_random4_classification_seed2026.json
10	regression	fisher	2	42	reports/dynamic_prompt/o2o_topk_overnight_20260811/roberta_masked_short_fisher_top2_regression_seed42.json
11	regression	fisher	8	42	reports/dynamic_prompt/o2o_topk_overnight_20260811/roberta_masked_short_fisher_top8_regression_seed42.json
12	regression	variance	2	42	reports/dynamic_prompt/o2o_topk_overnight_20260811/roberta_masked_short_variance_top2_regression_seed42.json
13	regression	variance	8	42	reports/dynamic_prompt/o2o_topk_overnight_20260811/roberta_masked_short_variance_top8_regression_seed42.json
