task_id	variant	classifier	reducer	components	train_target	evaluation_target	output
0	short	sgd	pca	128	next_day_return	next_day_return	reports/classification/qwen_followup_screen_20260811/short_sgd_pca128_next1.json
1	short	mlp	pca	128	next_day_return	next_day_return	reports/classification/qwen_followup_screen_20260811/short_mlp_pca128_next1.json
2	short	hist_gradient_boosting	pca	128	next_day_return	next_day_return	reports/classification/qwen_followup_screen_20260811/short_hist_gradient_boosting_pca128_next1.json
3	short	extra_trees	pca	128	next_day_return	next_day_return	reports/classification/qwen_followup_screen_20260811/short_extra_trees_pca128_next1.json
4	masked_short	sgd	pca	128	next_day_return	next_day_return	reports/classification/qwen_followup_screen_20260811/masked_short_sgd_pca128_next1.json
5	masked_short	mlp	pca	128	next_day_return	next_day_return	reports/classification/qwen_followup_screen_20260811/masked_short_mlp_pca128_next1.json
6	masked_short	hist_gradient_boosting	pca	128	next_day_return	next_day_return	reports/classification/qwen_followup_screen_20260811/masked_short_hist_gradient_boosting_pca128_next1.json
7	masked_short	extra_trees	pca	128	next_day_return	next_day_return	reports/classification/qwen_followup_screen_20260811/masked_short_extra_trees_pca128_next1.json
8	plain	sgd	pca	128	next_day_return	next_day_return	reports/classification/qwen_followup_screen_20260811/plain_sgd_pca128_next1.json
9	plain	mlp	pca	128	next_day_return	next_day_return	reports/classification/qwen_followup_screen_20260811/plain_mlp_pca128_next1.json
10	plain	hist_gradient_boosting	pca	128	next_day_return	next_day_return	reports/classification/qwen_followup_screen_20260811/plain_hist_gradient_boosting_pca128_next1.json
11	plain	extra_trees	pca	128	next_day_return	next_day_return	reports/classification/qwen_followup_screen_20260811/plain_extra_trees_pca128_next1.json
