task_id	variant	target	regressor	reducer	components	output
0	short	next_day_open_to_open_winsor_residual	huber_sgd	pca	64	reports/regression/qwen_followup_screen_20260811/short_winsor_residual_huber_pca64.json
1	short	next_day_open_to_open_winsor_residual	huber_sgd	pca	128	reports/regression/qwen_followup_screen_20260811/short_winsor_residual_huber_pca128.json
2	short	next_day_open_to_open_winsor_residual	ridge	pca	256	reports/regression/qwen_followup_screen_20260811/short_winsor_residual_ridge_pca256.json
3	short	next_day_open_to_open_winsor_residual	small_mlp	pca	128	reports/regression/qwen_followup_screen_20260811/short_winsor_residual_small_mlp_pca128.json
4	short	next_day_open_to_open_cs_zscore	huber_sgd	pca	256	reports/regression/qwen_followup_screen_20260811/short_cs_zscore_huber_pca256.json
5	masked_short	next_day_open_to_open_winsor_residual	huber_sgd	pca	64	reports/regression/qwen_followup_screen_20260811/masked_short_winsor_residual_huber_pca64.json
6	masked_short	next_day_open_to_open_winsor_residual	huber_sgd	pca	128	reports/regression/qwen_followup_screen_20260811/masked_short_winsor_residual_huber_pca128.json
7	masked_short	next_day_open_to_open_winsor_residual	ridge	pca	256	reports/regression/qwen_followup_screen_20260811/masked_short_winsor_residual_ridge_pca256.json
8	masked_short	next_day_open_to_open_winsor_residual	small_mlp	pca	128	reports/regression/qwen_followup_screen_20260811/masked_short_winsor_residual_small_mlp_pca128.json
9	masked_short	next_day_open_to_open_cs_zscore	huber_sgd	pca	256	reports/regression/qwen_followup_screen_20260811/masked_short_cs_zscore_huber_pca256.json
10	plain	next_day_open_to_open_winsor_residual	huber_sgd	pca	64	reports/regression/qwen_followup_screen_20260811/plain_winsor_residual_huber_pca64.json
11	plain	next_day_open_to_open_winsor_residual	huber_sgd	pca	128	reports/regression/qwen_followup_screen_20260811/plain_winsor_residual_huber_pca128.json
12	plain	next_day_open_to_open_winsor_residual	ridge	pca	256	reports/regression/qwen_followup_screen_20260811/plain_winsor_residual_ridge_pca256.json
13	plain	next_day_open_to_open_winsor_residual	small_mlp	pca	128	reports/regression/qwen_followup_screen_20260811/plain_winsor_residual_small_mlp_pca128.json
14	plain	next_day_open_to_open_cs_zscore	huber_sgd	pca	256	reports/regression/qwen_followup_screen_20260811/plain_cs_zscore_huber_pca256.json
