task_id	model	embedding_root	variant	target	regressor	run_mode	reducer	components	seed	output
0	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	plain	next_day_open_to_open_winsor_residual	ridge	screen	none	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_plain_ridge_none_seed42.json
1	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	plain	next_day_open_to_open_winsor_residual	ridge	screen	pca	32	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_plain_ridge_pca32_seed42.json
2	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	plain	next_day_open_to_open_winsor_residual	ridge	screen	pca	64	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_plain_ridge_pca64_seed42.json
3	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	plain	next_day_open_to_open_winsor_residual	ridge	screen	pca	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_plain_ridge_pca128_seed42.json
4	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	plain	next_day_open_to_open_winsor_residual	ridge	screen	pca	256	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_plain_ridge_pca256_seed42.json
5	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	plain	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	32	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_plain_huber_sgd_pca32_seed42.json
6	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	plain	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	64	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_plain_huber_sgd_pca64_seed42.json
7	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	plain	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_plain_huber_sgd_pca128_seed42.json
8	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	plain	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	256	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_plain_huber_sgd_pca256_seed42.json
9	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	short	next_day_open_to_open_winsor_residual	ridge	screen	none	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_short_ridge_none_seed42.json
10	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	short	next_day_open_to_open_winsor_residual	ridge	screen	pca	32	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_short_ridge_pca32_seed42.json
11	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	short	next_day_open_to_open_winsor_residual	ridge	screen	pca	64	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_short_ridge_pca64_seed42.json
12	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	short	next_day_open_to_open_winsor_residual	ridge	screen	pca	128	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_short_ridge_pca128_seed42.json
13	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	short	next_day_open_to_open_winsor_residual	ridge	screen	pca	256	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_short_ridge_pca256_seed42.json
14	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	32	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_short_huber_sgd_pca32_seed42.json
15	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	short	next_day_open_to_open_winsor_residual	huber_sgd	screen	pca	64	42	reports/regression/qwen_2018_2026_linear_v1/screen/qwen3_embedding_8b_short_huber_sgd_pca64_seed42.json
