task_id	model	embedding_root	variant	target	regressor	run_mode	reducer	components	seed	output
0	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	plain	next_day_open_to_open_winsor_residual	ridge	final-test	none	128	42	reports/regression/qwen_2018_2026_linear_v1/strict_6_2_1/best_qwen3_embedding_8b_plain_ridge_none128_seed42.json
1	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	short	next_day_open_to_open_winsor_residual	ridge	final-test	none	128	42	reports/regression/qwen_2018_2026_linear_v1/strict_6_2_1/best_qwen3_embedding_8b_short_ridge_none128_seed42.json
2	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	masked_short	next_day_open_to_open_winsor_residual	huber_sgd	final-test	pca	32	42	reports/regression/qwen_2018_2026_linear_v1/strict_6_2_1/best_qwen3_embedding_8b_masked_short_huber_sgd_pca32_seed42.json
3	roberta	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	huber_sgd	final-test	pca	256	42	reports/regression/qwen_2018_2026_linear_v1/strict_6_2_1/best_roberta_masked_short_huber_sgd_pca256_seed42.json
4	bge_m3	data/processed/pooled_embeddings_v3	masked_short	next_day_open_to_open_winsor_residual	huber_sgd	final-test	pca	256	42	reports/regression/qwen_2018_2026_linear_v1/strict_6_2_1/best_bge_m3_masked_short_huber_sgd_pca256_seed42.json
5	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	plain	next_day_open_to_open_winsor_residual	huber_sgd	final-test	pca	64	42	reports/regression/qwen_2018_2026_linear_v1/strict_6_2_1/huber_stability/qwen3_embedding_8b_plain_huber_pca64_seed42.json
6	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	plain	next_day_open_to_open_winsor_residual	huber_sgd	final-test	pca	64	43	reports/regression/qwen_2018_2026_linear_v1/strict_6_2_1/huber_stability/qwen3_embedding_8b_plain_huber_pca64_seed43.json
7	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	plain	next_day_open_to_open_winsor_residual	huber_sgd	final-test	pca	64	44	reports/regression/qwen_2018_2026_linear_v1/strict_6_2_1/huber_stability/qwen3_embedding_8b_plain_huber_pca64_seed44.json
8	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	plain	next_day_open_to_open_winsor_residual	huber_sgd	final-test	pca	64	45	reports/regression/qwen_2018_2026_linear_v1/strict_6_2_1/huber_stability/qwen3_embedding_8b_plain_huber_pca64_seed45.json
9	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	plain	next_day_open_to_open_winsor_residual	huber_sgd	final-test	pca	64	46	reports/regression/qwen_2018_2026_linear_v1/strict_6_2_1/huber_stability/qwen3_embedding_8b_plain_huber_pca64_seed46.json
10	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	short	next_day_open_to_open_winsor_residual	huber_sgd	final-test	pca	64	42	reports/regression/qwen_2018_2026_linear_v1/strict_6_2_1/huber_stability/qwen3_embedding_8b_short_huber_pca64_seed42.json
11	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	short	next_day_open_to_open_winsor_residual	huber_sgd	final-test	pca	64	43	reports/regression/qwen_2018_2026_linear_v1/strict_6_2_1/huber_stability/qwen3_embedding_8b_short_huber_pca64_seed43.json
12	qwen3_embedding_8b	data/processed/pooled_embeddings_qwen_candidates_1000	short	next_day_open_to_open_winsor_residual	huber_sgd	final-test	pca	64	44	reports/regression/qwen_2018_2026_linear_v1/strict_6_2_1/huber_stability/qwen3_embedding_8b_short_huber_pca64_seed44.json
