task_id	variant	classifier	reducer	components	train_target	evaluation_target	output
0	short	linear_svm	pca	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/short_linear_svm_pca128_o2o.json
1	short	logistic	pca	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/short_logistic_pca128_o2o.json
2	short	sgd	pca	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/short_sgd_pca128_o2o.json
3	short	mlp	pca	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/short_mlp_pca128_o2o.json
4	short	simple_mlp	none	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/short_simple_mlp_none_o2o.json
5	short	hist_gradient_boosting	pca	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/short_hist_gradient_boosting_pca128_o2o.json
6	short	extra_trees	pca	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/short_extra_trees_pca128_o2o.json
7	masked_short	linear_svm	pca	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/masked_short_linear_svm_pca128_o2o.json
8	masked_short	logistic	pca	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/masked_short_logistic_pca128_o2o.json
9	masked_short	sgd	pca	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/masked_short_sgd_pca128_o2o.json
10	masked_short	mlp	pca	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/masked_short_mlp_pca128_o2o.json
11	masked_short	simple_mlp	none	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/masked_short_simple_mlp_none_o2o.json
12	masked_short	hist_gradient_boosting	pca	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/masked_short_hist_gradient_boosting_pca128_o2o.json
13	masked_short	extra_trees	pca	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/masked_short_extra_trees_pca128_o2o.json
14	plain	linear_svm	pca	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/plain_linear_svm_pca128_o2o.json
15	plain	logistic	pca	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/plain_logistic_pca128_o2o.json
16	plain	sgd	pca	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/plain_sgd_pca128_o2o.json
17	plain	mlp	pca	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/plain_mlp_pca128_o2o.json
18	plain	simple_mlp	none	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/plain_simple_mlp_none_o2o.json
19	plain	hist_gradient_boosting	pca	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/plain_hist_gradient_boosting_pca128_o2o.json
20	plain	extra_trees	pca	128	next_day_open_to_open_return	next_day_open_to_open_return	reports/classification/qwen_o2o_screen_20260811/plain_extra_trees_pca128_o2o.json
