task_id	variant	classifier	reducer	components	train_target	evaluation_target	output
0	short	linear_svm	pca	128	next_day_return	next_day_return	reports/classification/qwen_fullpanel_screen_20260811/short_linear_svm_pca128_next1.json
1	masked_short	linear_svm	pca	128	next_day_return	next_day_return	reports/classification/qwen_fullpanel_screen_20260811/masked_short_linear_svm_pca128_next1.json
2	plain	linear_svm	pca	128	next_day_return	next_day_return	reports/classification/qwen_fullpanel_screen_20260811/plain_linear_svm_pca128_next1.json
3	short	logistic	pca	128	next_day_return	next_day_return	reports/classification/qwen_fullpanel_screen_20260811/short_logistic_pca128_next1.json
4	masked_short	logistic	pca	128	next_day_return	next_day_return	reports/classification/qwen_fullpanel_screen_20260811/masked_short_logistic_pca128_next1.json
5	plain	logistic	pca	128	next_day_return	next_day_return	reports/classification/qwen_fullpanel_screen_20260811/plain_logistic_pca128_next1.json
6	short	simple_mlp	none	128	next_day_return	next_day_return	reports/classification/qwen_fullpanel_screen_20260811/short_simple_mlp_none_next1.json
7	masked_short	simple_mlp	none	128	next_day_return	next_day_return	reports/classification/qwen_fullpanel_screen_20260811/masked_short_simple_mlp_none_next1.json
8	plain	simple_mlp	none	128	next_day_return	next_day_return	reports/classification/qwen_fullpanel_screen_20260811/plain_simple_mlp_none_next1.json
9	short	linear_svm	pca	128	event_return_3d	next_day_return	reports/classification/qwen_fullpanel_screen_20260811/short_linear_svm_pca128_legacy3d.json
10	masked_short	linear_svm	pca	128	event_return_3d	next_day_return	reports/classification/qwen_fullpanel_screen_20260811/masked_short_linear_svm_pca128_legacy3d.json
11	plain	linear_svm	pca	128	event_return_3d	next_day_return	reports/classification/qwen_fullpanel_screen_20260811/plain_linear_svm_pca128_legacy3d.json
