task_id	embedding_root	model	variant	feature	target	reducer	components	output
0	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	return_1	none	0	reports/regression/pooled_embeddings/triple_concat/bge_m3_short_title_body_full_concat_return_1_ridge_none_0.json
1	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	return_1	pca	128	reports/regression/pooled_embeddings/triple_concat/bge_m3_short_title_body_full_concat_return_1_ridge_pca_128.json
2	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	return_3	none	0	reports/regression/pooled_embeddings/triple_concat/bge_m3_short_title_body_full_concat_return_3_ridge_none_0.json
3	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	return_3	pca	128	reports/regression/pooled_embeddings/triple_concat/bge_m3_short_title_body_full_concat_return_3_ridge_pca_128.json
4	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	return_5	none	0	reports/regression/pooled_embeddings/triple_concat/bge_m3_short_title_body_full_concat_return_5_ridge_none_0.json
5	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	return_5	pca	128	reports/regression/pooled_embeddings/triple_concat/bge_m3_short_title_body_full_concat_return_5_ridge_pca_128.json
6	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	return_20	none	0	reports/regression/pooled_embeddings/triple_concat/bge_m3_short_title_body_full_concat_return_20_ridge_none_0.json
7	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	return_20	pca	128	reports/regression/pooled_embeddings/triple_concat/bge_m3_short_title_body_full_concat_return_20_ridge_pca_128.json
8	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	return_1	none	0	reports/regression/pooled_embeddings/triple_concat/bge_m3_masked_short_title_body_full_concat_return_1_ridge_none_0.json
9	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	return_1	pca	128	reports/regression/pooled_embeddings/triple_concat/bge_m3_masked_short_title_body_full_concat_return_1_ridge_pca_128.json
10	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	return_3	none	0	reports/regression/pooled_embeddings/triple_concat/bge_m3_masked_short_title_body_full_concat_return_3_ridge_none_0.json
11	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	return_3	pca	128	reports/regression/pooled_embeddings/triple_concat/bge_m3_masked_short_title_body_full_concat_return_3_ridge_pca_128.json
12	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	return_5	none	0	reports/regression/pooled_embeddings/triple_concat/bge_m3_masked_short_title_body_full_concat_return_5_ridge_none_0.json
13	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	return_5	pca	128	reports/regression/pooled_embeddings/triple_concat/bge_m3_masked_short_title_body_full_concat_return_5_ridge_pca_128.json
14	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	return_20	none	0	reports/regression/pooled_embeddings/triple_concat/bge_m3_masked_short_title_body_full_concat_return_20_ridge_none_0.json
15	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	return_20	pca	128	reports/regression/pooled_embeddings/triple_concat/bge_m3_masked_short_title_body_full_concat_return_20_ridge_pca_128.json
