task_id	embedding_root	model	variant	feature	target	regressor	run_mode	reducer	components	output
0	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	body_mean	simple_states_ret_vv_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/simple_states_aligned_v1/roberta_short_body_mean_ridge_none_0.json
1	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	body_mean	simple_states_ret_vv_return	huber_sgd	final-test	none	0	reports/regression/pooled_embeddings/simple_states_aligned_v1/roberta_short_body_mean_huber_sgd_none_0.json
2	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	body_mean	simple_states_ret_vv_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/simple_states_aligned_v1/roberta_short_body_mean_small_mlp_none_0.json
3	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	full_mean	simple_states_ret_vv_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/simple_states_aligned_v1/roberta_short_full_mean_ridge_none_0.json
4	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	full_mean	simple_states_ret_vv_return	huber_sgd	final-test	none	0	reports/regression/pooled_embeddings/simple_states_aligned_v1/roberta_short_full_mean_huber_sgd_none_0.json
5	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	short	full_mean	simple_states_ret_vv_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/simple_states_aligned_v1/roberta_short_full_mean_small_mlp_none_0.json
6	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	body_mean	simple_states_ret_vv_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/simple_states_aligned_v1/roberta_masked_short_body_mean_ridge_none_0.json
7	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	body_mean	simple_states_ret_vv_return	huber_sgd	final-test	none	0	reports/regression/pooled_embeddings/simple_states_aligned_v1/roberta_masked_short_body_mean_huber_sgd_none_0.json
8	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	body_mean	simple_states_ret_vv_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/simple_states_aligned_v1/roberta_masked_short_body_mean_small_mlp_none_0.json
9	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	full_mean	simple_states_ret_vv_return	ridge	final-test	none	0	reports/regression/pooled_embeddings/simple_states_aligned_v1/roberta_masked_short_full_mean_ridge_none_0.json
10	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	full_mean	simple_states_ret_vv_return	huber_sgd	final-test	none	0	reports/regression/pooled_embeddings/simple_states_aligned_v1/roberta_masked_short_full_mean_huber_sgd_none_0.json
11	data/processed/pooled_embeddings_2010_2026_clean_v1	roberta	masked_short	full_mean	simple_states_ret_vv_return	small_mlp	final-test	none	0	reports/regression/pooled_embeddings/simple_states_aligned_v1/roberta_masked_short_full_mean_small_mlp_none_0.json
