task_id	source_task_id	predictions	factor_id	output_dir
0	0	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_body_mean_ridge_none_0.stock_day_predictions.parquet	roberta_short_body_mean_ridge_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_short_body_mean_ridge_none_0
1	1	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_body_mean_ridge_pca_128.stock_day_predictions.parquet	roberta_short_body_mean_ridge_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_short_body_mean_ridge_pca_128
2	2	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_body_mean_huber_sgd_none_0.stock_day_predictions.parquet	roberta_short_body_mean_huber_sgd_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_short_body_mean_huber_sgd_none_0
3	3	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_body_mean_huber_sgd_pca_128.stock_day_predictions.parquet	roberta_short_body_mean_huber_sgd_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_short_body_mean_huber_sgd_pca_128
4	4	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_body_mean_small_mlp_none_0.stock_day_predictions.parquet	roberta_short_body_mean_small_mlp_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_short_body_mean_small_mlp_none_0
5	5	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_body_mean_small_mlp_pca_128.stock_day_predictions.parquet	roberta_short_body_mean_small_mlp_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_short_body_mean_small_mlp_pca_128
6	6	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_full_mean_ridge_none_0.stock_day_predictions.parquet	roberta_short_full_mean_ridge_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_short_full_mean_ridge_none_0
7	7	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_full_mean_ridge_pca_128.stock_day_predictions.parquet	roberta_short_full_mean_ridge_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_short_full_mean_ridge_pca_128
8	8	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_full_mean_huber_sgd_none_0.stock_day_predictions.parquet	roberta_short_full_mean_huber_sgd_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_short_full_mean_huber_sgd_none_0
9	9	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_full_mean_huber_sgd_pca_128.stock_day_predictions.parquet	roberta_short_full_mean_huber_sgd_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_short_full_mean_huber_sgd_pca_128
10	10	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_full_mean_small_mlp_none_0.stock_day_predictions.parquet	roberta_short_full_mean_small_mlp_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_short_full_mean_small_mlp_none_0
11	11	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_full_mean_small_mlp_pca_128.stock_day_predictions.parquet	roberta_short_full_mean_small_mlp_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_short_full_mean_small_mlp_pca_128
12	12	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_title_body_full_concat_ridge_none_0.stock_day_predictions.parquet	roberta_short_title_body_full_concat_ridge_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_short_title_body_full_concat_ridge_none_0
13	13	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_title_body_full_concat_ridge_pca_128.stock_day_predictions.parquet	roberta_short_title_body_full_concat_ridge_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_short_title_body_full_concat_ridge_pca_128
14	14	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_title_body_full_concat_huber_sgd_none_0.stock_day_predictions.parquet	roberta_short_title_body_full_concat_huber_sgd_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_short_title_body_full_concat_huber_sgd_none_0
15	15	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_title_body_full_concat_huber_sgd_pca_128.stock_day_predictions.parquet	roberta_short_title_body_full_concat_huber_sgd_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_short_title_body_full_concat_huber_sgd_pca_128
16	17	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_short_title_body_full_concat_small_mlp_pca_128.stock_day_predictions.parquet	roberta_short_title_body_full_concat_small_mlp_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_short_title_body_full_concat_small_mlp_pca_128
17	18	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_body_mean_ridge_none_0.stock_day_predictions.parquet	roberta_masked_short_body_mean_ridge_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_masked_short_body_mean_ridge_none_0
18	19	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_body_mean_ridge_pca_128.stock_day_predictions.parquet	roberta_masked_short_body_mean_ridge_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_masked_short_body_mean_ridge_pca_128
19	20	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_body_mean_huber_sgd_none_0.stock_day_predictions.parquet	roberta_masked_short_body_mean_huber_sgd_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_masked_short_body_mean_huber_sgd_none_0
20	21	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_body_mean_huber_sgd_pca_128.stock_day_predictions.parquet	roberta_masked_short_body_mean_huber_sgd_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_masked_short_body_mean_huber_sgd_pca_128
21	23	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_body_mean_small_mlp_pca_128.stock_day_predictions.parquet	roberta_masked_short_body_mean_small_mlp_pca_128	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_masked_short_body_mean_small_mlp_pca_128
22	24	reports/regression/pooled_embeddings/o2o_rolling_2010_2026_hfq/roberta_masked_short_full_mean_ridge_none_0.stock_day_predictions.parquet	roberta_masked_short_full_mean_ridge_none_0	reports/simple_states/o2o_rolling_2010_2026_hfq_available_v1/roberta_masked_short_full_mean_ridge_none_0
