task_id	embedding_root	model	variant	feature	classifier	reducer	components	output	train_target	evaluation_target
0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	prompt_tokens_flat	logistic	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_short_prompt_tokens_flat_logistic_dynamic_token_gate.json	event_return_3d	next_day_return
1	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	prompt_tokens_flat	linear_svm	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_short_prompt_tokens_flat_linear_svm_dynamic_token_gate.json	event_return_3d	next_day_return
2	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	prompt_tokens_flat	sgd	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_short_prompt_tokens_flat_sgd_dynamic_token_gate.json	event_return_3d	next_day_return
3	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	prompt_tokens_flat	mlp	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_short_prompt_tokens_flat_mlp_dynamic_token_gate.json	event_return_3d	next_day_return
4	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	prompt_tokens_flat	simple_mlp	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_short_prompt_tokens_flat_simple_mlp_dynamic_token_gate.json	event_return_3d	next_day_return
5	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	prompt_tokens_flat	random_forest	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_short_prompt_tokens_flat_random_forest_dynamic_token_gate.json	event_return_3d	next_day_return
6	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	prompt_tokens_flat	extra_trees	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_short_prompt_tokens_flat_extra_trees_dynamic_token_gate.json	event_return_3d	next_day_return
7	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	prompt_tokens_flat	hist_gradient_boosting	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_short_prompt_tokens_flat_hist_gradient_boosting_dynamic_token_gate.json	event_return_3d	next_day_return
8	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	prompt_tokens_flat	xgboost	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_short_prompt_tokens_flat_xgboost_dynamic_token_gate.json	event_return_3d	next_day_return
9	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	prompt_tokens_flat	lightgbm	dynamic_token_gate	0	/mnt/lustre3/home/gaozh/news_content_quality_20260812/cninfo_method_v1/prompt_token_dynamic_classification/roberta_short_prompt_tokens_flat_lightgbm_dynamic_token_gate.json	event_return_3d	next_day_return
