task_id	embedding_root	model	variant	feature	target	regressor	reducer	components	output
0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	plain	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/roberta_plain_full_mean_next_day_return_ridge_none_0.json
1	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	plain	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/roberta_plain_full_mean_next_day_return_ridge_pca_128.json
2	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/roberta_short_full_mean_next_day_return_ridge_none_0.json
3	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	short	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/roberta_short_full_mean_next_day_return_ridge_pca_128.json
4	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/roberta_masked_short_full_mean_next_day_return_ridge_none_0.json
5	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_short	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/roberta_masked_short_full_mean_next_day_return_ridge_pca_128.json
6	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/roberta_long_full_mean_next_day_return_ridge_none_0.json
7	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	long	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/roberta_long_full_mean_next_day_return_ridge_pca_128.json
8	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/roberta_masked_long_full_mean_next_day_return_ridge_none_0.json
9	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	roberta	masked_long	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/roberta_masked_long_full_mean_next_day_return_ridge_pca_128.json
10	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	plain	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/bge_m3_plain_full_mean_next_day_return_ridge_none_0.json
11	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	plain	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/bge_m3_plain_full_mean_next_day_return_ridge_pca_128.json
12	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	full_mean	next_day_return	ridge	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/bge_m3_short_full_mean_next_day_return_ridge_none_0.json
13	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	bge_m3	short	full_mean	next_day_return	ridge	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/regression/bge_m3_short_full_mean_next_day_return_ridge_pca_128.json
