task_id	embedding_root	model	variant	feature	classifier	reducer	components	output	train_target	evaluation_target
0	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/embeddings	roberta	plain	body_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/classification_results_v1/event3_to_event3/classification/roberta_plain_body_mean_logistic_none_0.json	event_return_3d	event_return_3d
1	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/embeddings	roberta	plain	body_mean	linear_svm	none	0	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/classification_results_v1/event3_to_event3/classification/roberta_plain_body_mean_linear_svm_none_0.json	event_return_3d	event_return_3d
2	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/embeddings	roberta	plain	body_mean	sgd	none	0	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/classification_results_v1/event3_to_event3/classification/roberta_plain_body_mean_sgd_none_0.json	event_return_3d	event_return_3d
3	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/embeddings	roberta	plain	body_mean	simple_mlp	none	0	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/classification_results_v1/event3_to_event3/classification/roberta_plain_body_mean_simple_mlp_none_0.json	event_return_3d	event_return_3d
4	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/embeddings	roberta	plain	body_mean	hist_gradient_boosting	none	0	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/classification_results_v1/event3_to_event3/classification/roberta_plain_body_mean_hist_gradient_boosting_none_0.json	event_return_3d	event_return_3d
5	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/embeddings	roberta	plain	title_body_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/classification_results_v1/event3_to_event3/classification/roberta_plain_title_body_mean_logistic_none_0.json	event_return_3d	event_return_3d
6	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/embeddings	roberta	plain	title_body_mean	linear_svm	none	0	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/classification_results_v1/event3_to_event3/classification/roberta_plain_title_body_mean_linear_svm_none_0.json	event_return_3d	event_return_3d
7	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/embeddings	roberta	plain	title_body_mean	sgd	none	0	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/classification_results_v1/event3_to_event3/classification/roberta_plain_title_body_mean_sgd_none_0.json	event_return_3d	event_return_3d
8	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/embeddings	roberta	plain	title_body_mean	simple_mlp	none	0	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/classification_results_v1/event3_to_event3/classification/roberta_plain_title_body_mean_simple_mlp_none_0.json	event_return_3d	event_return_3d
9	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/embeddings	roberta	plain	title_body_mean	hist_gradient_boosting	none	0	/data/alpha_team2/shares/llm_return/datasets/sina_cninfo_full_2010_2026/single_stock_cninfo_v1/classification_results_v1/event3_to_event3/classification/roberta_plain_title_body_mean_hist_gradient_boosting_none_0.json	event_return_3d	event_return_3d
