task_id	model	prompt_length	semantic_name	variant	target	cluster_method	predictor
0	roberta	short	stock_span	short	next_day_return	kmeans	ridge
1	roberta	short	stock_span	masked_short	next_day_return	kmeans	ridge
2	roberta	short	stock_span	short	next_day_return	gmm	ridge
3	roberta	short	stock_span	masked_short	next_day_return	gmm	ridge
4	roberta	short	stock_span	short	next_day_return	kmeans	knn
5	roberta	short	stock_span	masked_short	next_day_return	kmeans	knn
6	roberta	short	stock_span	short	next_day_return	gmm	knn
7	roberta	short	stock_span	masked_short	next_day_return	gmm	knn
8	bge_m3	short	stock_span	short	next_day_return	kmeans	ridge
9	bge_m3	short	stock_span	masked_short	next_day_return	kmeans	ridge
10	bge_m3	short	stock_span	short	next_day_return	gmm	ridge
11	bge_m3	short	stock_span	masked_short	next_day_return	gmm	ridge
12	bge_m3	short	stock_span	short	next_day_return	kmeans	knn
13	bge_m3	short	stock_span	masked_short	next_day_return	kmeans	knn
14	bge_m3	short	stock_span	short	next_day_return	gmm	knn
15	bge_m3	short	stock_span	masked_short	next_day_return	gmm	knn
