task_id	feature_mode	target	test_year
0	unmasked	event_return_3d	2018
1	unmasked	event_return_3d	2019
2	unmasked	event_return_3d	2020
3	unmasked	event_return_3d	2021
4	unmasked	event_return_3d	2022
5	unmasked	event_return_3d	2023
6	unmasked	event_return_3d	2024
7	unmasked	event_return_3d	2025
8	unmasked	event_return_3d	2026
9	unmasked	next_day_return	2018
10	unmasked	next_day_return	2019
11	unmasked	next_day_return	2020
12	unmasked	next_day_return	2021
13	unmasked	next_day_return	2022
14	unmasked	next_day_return	2023
15	unmasked	next_day_return	2024
16	unmasked	next_day_return	2025
17	unmasked	next_day_return	2026
18	masked	event_return_3d	2018
19	masked	event_return_3d	2019
20	masked	event_return_3d	2020
21	masked	event_return_3d	2021
22	masked	event_return_3d	2022
23	masked	event_return_3d	2023
24	masked	event_return_3d	2024
25	masked	event_return_3d	2025
26	masked	event_return_3d	2026
27	masked	next_day_return	2018
28	masked	next_day_return	2019
29	masked	next_day_return	2020
30	masked	next_day_return	2021
31	masked	next_day_return	2022
32	masked	next_day_return	2023
33	masked	next_day_return	2024
34	masked	next_day_return	2025
35	masked	next_day_return	2026
36	fusion	event_return_3d	2018
37	fusion	event_return_3d	2019
38	fusion	event_return_3d	2020
39	fusion	event_return_3d	2021
40	fusion	event_return_3d	2022
41	fusion	event_return_3d	2023
42	fusion	event_return_3d	2024
43	fusion	event_return_3d	2025
44	fusion	event_return_3d	2026
45	fusion	next_day_return	2018
46	fusion	next_day_return	2019
47	fusion	next_day_return	2020
48	fusion	next_day_return	2021
49	fusion	next_day_return	2022
50	fusion	next_day_return	2023
51	fusion	next_day_return	2024
52	fusion	next_day_return	2025
53	fusion	next_day_return	2026
