task_id	model	feature_mode	target	test_year
0	roberta	unmasked	event_return_3d	2018
1	roberta	unmasked	event_return_3d	2019
2	roberta	unmasked	event_return_3d	2020
3	roberta	unmasked	event_return_3d	2021
4	roberta	unmasked	event_return_3d	2022
5	roberta	unmasked	event_return_3d	2023
6	roberta	unmasked	event_return_3d	2024
7	roberta	unmasked	event_return_3d	2025
8	roberta	unmasked	event_return_3d	2026
9	roberta	unmasked	next_day_return	2018
10	roberta	unmasked	next_day_return	2019
11	roberta	unmasked	next_day_return	2020
12	roberta	unmasked	next_day_return	2021
13	roberta	unmasked	next_day_return	2022
14	roberta	unmasked	next_day_return	2023
15	roberta	unmasked	next_day_return	2024
16	roberta	unmasked	next_day_return	2025
17	roberta	unmasked	next_day_return	2026
18	roberta	masked	event_return_3d	2018
19	roberta	masked	event_return_3d	2019
20	roberta	masked	event_return_3d	2020
21	roberta	masked	event_return_3d	2021
22	roberta	masked	event_return_3d	2022
23	roberta	masked	event_return_3d	2023
24	roberta	masked	event_return_3d	2024
25	roberta	masked	event_return_3d	2025
26	roberta	masked	event_return_3d	2026
27	roberta	masked	next_day_return	2018
28	roberta	masked	next_day_return	2019
29	roberta	masked	next_day_return	2020
30	roberta	masked	next_day_return	2021
31	roberta	masked	next_day_return	2022
32	roberta	masked	next_day_return	2023
33	roberta	masked	next_day_return	2024
34	roberta	masked	next_day_return	2025
35	roberta	masked	next_day_return	2026
36	roberta	fusion	event_return_3d	2018
37	roberta	fusion	event_return_3d	2019
38	roberta	fusion	event_return_3d	2020
39	roberta	fusion	event_return_3d	2021
40	roberta	fusion	event_return_3d	2022
41	roberta	fusion	event_return_3d	2023
42	roberta	fusion	event_return_3d	2024
43	roberta	fusion	event_return_3d	2025
44	roberta	fusion	event_return_3d	2026
45	roberta	fusion	next_day_return	2018
46	roberta	fusion	next_day_return	2019
47	roberta	fusion	next_day_return	2020
48	roberta	fusion	next_day_return	2021
49	roberta	fusion	next_day_return	2022
50	roberta	fusion	next_day_return	2023
51	roberta	fusion	next_day_return	2024
52	roberta	fusion	next_day_return	2025
53	roberta	fusion	next_day_return	2026
54	bge_m3	unmasked	event_return_3d	2018
55	bge_m3	unmasked	event_return_3d	2019
56	bge_m3	unmasked	event_return_3d	2020
57	bge_m3	unmasked	event_return_3d	2021
58	bge_m3	unmasked	event_return_3d	2022
59	bge_m3	unmasked	event_return_3d	2023
60	bge_m3	unmasked	event_return_3d	2024
61	bge_m3	unmasked	event_return_3d	2025
62	bge_m3	unmasked	event_return_3d	2026
63	bge_m3	unmasked	next_day_return	2018
64	bge_m3	unmasked	next_day_return	2019
65	bge_m3	unmasked	next_day_return	2020
66	bge_m3	unmasked	next_day_return	2021
67	bge_m3	unmasked	next_day_return	2022
68	bge_m3	unmasked	next_day_return	2023
69	bge_m3	unmasked	next_day_return	2024
70	bge_m3	unmasked	next_day_return	2025
71	bge_m3	unmasked	next_day_return	2026
72	bge_m3	masked	event_return_3d	2018
73	bge_m3	masked	event_return_3d	2019
74	bge_m3	masked	event_return_3d	2020
75	bge_m3	masked	event_return_3d	2021
76	bge_m3	masked	event_return_3d	2022
77	bge_m3	masked	event_return_3d	2023
78	bge_m3	masked	event_return_3d	2024
79	bge_m3	masked	event_return_3d	2025
80	bge_m3	masked	event_return_3d	2026
81	bge_m3	masked	next_day_return	2018
82	bge_m3	masked	next_day_return	2019
83	bge_m3	masked	next_day_return	2020
84	bge_m3	masked	next_day_return	2021
85	bge_m3	masked	next_day_return	2022
86	bge_m3	masked	next_day_return	2023
87	bge_m3	masked	next_day_return	2024
88	bge_m3	masked	next_day_return	2025
89	bge_m3	masked	next_day_return	2026
90	bge_m3	fusion	event_return_3d	2018
91	bge_m3	fusion	event_return_3d	2019
92	bge_m3	fusion	event_return_3d	2020
93	bge_m3	fusion	event_return_3d	2021
94	bge_m3	fusion	event_return_3d	2022
95	bge_m3	fusion	event_return_3d	2023
96	bge_m3	fusion	event_return_3d	2024
97	bge_m3	fusion	event_return_3d	2025
98	bge_m3	fusion	event_return_3d	2026
99	bge_m3	fusion	next_day_return	2018
100	bge_m3	fusion	next_day_return	2019
101	bge_m3	fusion	next_day_return	2020
102	bge_m3	fusion	next_day_return	2021
103	bge_m3	fusion	next_day_return	2022
104	bge_m3	fusion	next_day_return	2023
105	bge_m3	fusion	next_day_return	2024
106	bge_m3	fusion	next_day_return	2025
107	bge_m3	fusion	next_day_return	2026
