task_id	mode	test_year	output
0	self	2018	reports/classification/stock_graph_roberta_masked_v1/self_test2018_seed42.json
1	self	2019	reports/classification/stock_graph_roberta_masked_v1/self_test2019_seed42.json
2	self	2020	reports/classification/stock_graph_roberta_masked_v1/self_test2020_seed42.json
3	self	2021	reports/classification/stock_graph_roberta_masked_v1/self_test2021_seed42.json
4	self	2022	reports/classification/stock_graph_roberta_masked_v1/self_test2022_seed42.json
5	self	2023	reports/classification/stock_graph_roberta_masked_v1/self_test2023_seed42.json
6	self	2024	reports/classification/stock_graph_roberta_masked_v1/self_test2024_seed42.json
7	self	2025	reports/classification/stock_graph_roberta_masked_v1/self_test2025_seed42.json
8	self	2026	reports/classification/stock_graph_roberta_masked_v1/self_test2026_seed42.json
9	industry	2018	reports/classification/stock_graph_roberta_masked_v1/industry_test2018_seed42.json
10	industry	2019	reports/classification/stock_graph_roberta_masked_v1/industry_test2019_seed42.json
11	industry	2020	reports/classification/stock_graph_roberta_masked_v1/industry_test2020_seed42.json
12	industry	2021	reports/classification/stock_graph_roberta_masked_v1/industry_test2021_seed42.json
13	industry	2022	reports/classification/stock_graph_roberta_masked_v1/industry_test2022_seed42.json
14	industry	2023	reports/classification/stock_graph_roberta_masked_v1/industry_test2023_seed42.json
15	industry	2024	reports/classification/stock_graph_roberta_masked_v1/industry_test2024_seed42.json
16	industry	2025	reports/classification/stock_graph_roberta_masked_v1/industry_test2025_seed42.json
17	industry	2026	reports/classification/stock_graph_roberta_masked_v1/industry_test2026_seed42.json
18	random	2018	reports/classification/stock_graph_roberta_masked_v1/random_test2018_seed42.json
19	random	2019	reports/classification/stock_graph_roberta_masked_v1/random_test2019_seed42.json
20	random	2020	reports/classification/stock_graph_roberta_masked_v1/random_test2020_seed42.json
21	random	2021	reports/classification/stock_graph_roberta_masked_v1/random_test2021_seed42.json
22	random	2022	reports/classification/stock_graph_roberta_masked_v1/random_test2022_seed42.json
23	random	2023	reports/classification/stock_graph_roberta_masked_v1/random_test2023_seed42.json
24	random	2024	reports/classification/stock_graph_roberta_masked_v1/random_test2024_seed42.json
25	random	2025	reports/classification/stock_graph_roberta_masked_v1/random_test2025_seed42.json
26	random	2026	reports/classification/stock_graph_roberta_masked_v1/random_test2026_seed42.json
