task_id	model	variant	token_count	hidden_size	window	gate_tag	gate_mode	representation_size	gate_hidden_size	dropout	learning_rate	weight_decay	inner_fit_years	inner_validation_years	predictor_fit_years	predictor_validation_years	seed	representation_report	predictor_output
0	roberta	short	28	768	tune2024	uniform64	uniform	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/roberta_short_tune2024_uniform64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_short_tune2024_uniform64_seed42.json
1	roberta	short	28	768	tune2024	static64	static	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/roberta_short_tune2024_static64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_short_tune2024_static64_seed42.json
2	roberta	short	28	768	tune2024	dynamic32	dynamic	32	32	0.0	0.001	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/roberta_short_tune2024_dynamic32_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_short_tune2024_dynamic32_seed42.json
3	roberta	short	28	768	tune2024	dynamic64	dynamic	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/roberta_short_tune2024_dynamic64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_short_tune2024_dynamic64_seed42.json
4	roberta	short	28	768	tune2024	dynamic_rep128	dynamic	128	64	0.1	0.0003	0.0001	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/roberta_short_tune2024_dynamic_rep128_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_short_tune2024_dynamic_rep128_seed42.json
5	roberta	short	28	768	tune2024	dynamic_wide128	dynamic	128	128	0.2	0.001	1e-05	2018,2019,2020,2021,2022	2023	2018,2019,2020,2021,2022,2023	2024	42	reports/frozen_gate/two_stage_v1/roberta_short_tune2024_dynamic_wide128_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_short_tune2024_dynamic_wide128_seed42.json
6	roberta	short	28	768	confirm2025	uniform64	uniform	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/roberta_short_confirm2025_uniform64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_short_confirm2025_uniform64_seed42.json
7	roberta	short	28	768	confirm2025	static64	static	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/roberta_short_confirm2025_static64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_short_confirm2025_static64_seed42.json
8	roberta	short	28	768	confirm2025	dynamic32	dynamic	32	32	0.0	0.001	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/roberta_short_confirm2025_dynamic32_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_short_confirm2025_dynamic32_seed42.json
9	roberta	short	28	768	confirm2025	dynamic64	dynamic	64	64	0.1	0.001	0.0001	2018,2019,2020,2021,2022,2023	2024	2018,2019,2020,2021,2022,2023,2024	2025	42	reports/frozen_gate/two_stage_v1/roberta_short_confirm2025_dynamic64_seed42.json	reports/frozen_gate/two_stage_v1_predictors/roberta_short_confirm2025_dynamic64_seed42.json
