stock_id,stock_name,exchange,xueqiu_symbol,industry,active
600000,浦发银行,SH,SH600000,银行,1
601166,兴业银行,SH,SH601166,银行,1
601398,工商银行,SH,SH601398,银行,1
601939,建设银行,SH,SH601939,银行,1
601288,农业银行,SH,SH601288,银行,1
601988,中国银行,SH,SH601988,银行,1
601328,交通银行,SH,SH601328,银行,1
601658,邮储银行,SH,SH601658,银行,1
601998,中信银行,SH,SH601998,银行,1
601229,上海银行,SH,SH601229,银行,1
600016,民生银行,SH,SH600016,银行,1
000002,万科A,SZ,SZ000002,房地产,1
600048,保利发展,SH,SH600048,房地产,1
001979,招商蛇口,SZ,SZ001979,房地产,1
600606,绿地控股,SH,SH600606,房地产,1
000069,华侨城A,SZ,SZ000069,房地产,1
600030,中信证券,SH,SH600030,非银金融,1
601211,国泰海通,SH,SH601211,非银金融,1
601688,华泰证券,SH,SH601688,非银金融,1
601601,中国太保,SH,SH601601,非银金融,1
601628,中国人寿,SH,SH601628,非银金融,1
601336,新华保险,SH,SH601336,非银金融,1
000166,申万宏源,SZ,SZ000166,非银金融,1
600104,上汽集团,SH,SH600104,汽车,1
000625,长安汽车,SZ,SZ000625,汽车,1
601633,长城汽车,SH,SH601633,汽车,1
600418,江淮汽车,SH,SH600418,汽车,1
000338,潍柴动力,SZ,SZ000338,汽车,1
601888,中国中免,SH,SH601888,商贸零售,1
600690,海尔智家,SH,SH600690,家用电器,1
000651,格力电器,SZ,SZ000651,家用电器,1
000333,美的集团,SZ,SZ000333,家用电器,1
600887,伊利股份,SH,SH600887,食品饮料,1
000858,五粮液,SZ,SZ000858,食品饮料,1
600276,恒瑞医药,SH,SH600276,医药生物,1
000538,云南白药,SZ,SZ000538,医药生物,1
603259,药明康德,SH,SH603259,医药生物,1
300015,爱尔眼科,SZ,SZ300015,医药生物,1
600085,同仁堂,SH,SH600085,医药生物,1
600438,通威股份,SH,SH600438,电力设备,1
601012,隆基绿能,SH,SH601012,电力设备,1
002129,中环股份,SZ,SZ002129,电力设备,1
300274,阳光电源,SZ,SZ300274,电力设备,1
688599,天合光能,SH,SH688599,电力设备,1
000100,TCL科技,SZ,SZ000100,电子,1
002415,海康威视,SZ,SZ002415,电子,1
688981,中芯国际,SH,SH688981,电子,1
002049,紫光国微,SZ,SZ002049,电子,1
603501,韦尔股份,SH,SH603501,电子,1
600703,三安光电,SH,SH600703,电子,1
600570,恒生电子,SH,SH600570,计算机,1
000977,浪潮信息,SZ,SZ000977,计算机,1
002230,科大讯飞,SZ,SZ002230,计算机,1
600588,用友网络,SH,SH600588,计算机,1
300496,中科创达,SZ,SZ300496,计算机,1
300454,深信服,SZ,SZ300454,计算机,1
601728,中国电信,SH,SH601728,通信,1
600941,中国移动,SH,SH600941,通信,1
000063,中兴通讯,SZ,SZ000063,通信,1
600050,中国联通,SH,SH600050,通信,1
601390,中国中铁,SH,SH601390,建筑,1
601668,中国建筑,SH,SH601668,建筑,1
601800,中国交建,SH,SH601800,建筑,1
000039,中集集团,SZ,SZ000039,交通运输,1
601006,大秦铁路,SH,SH601006,交通运输,1
600029,南方航空,SH,SH600029,交通运输,1
601111,中国国航,SH,SH601111,交通运输,1
600009,上海机场,SH,SH600009,交通运输,1
601919,中远海控,SH,SH601919,交通运输,1
600028,中国石化,SH,SH600028,石油石化,1
601088,中国神华,SH,SH601088,煤炭,1
600188,兖矿能源,SH,SH600188,煤炭,1
601225,陕西煤业,SH,SH601225,煤炭,1
600900,长江电力,SH,SH600900,公用事业,1
600011,华能国际,SH,SH600011,公用事业,1
600025,华能水电,SH,SH600025,公用事业,1
601985,中国核电,SH,SH601985,公用事业,1
002007,华兰生物,SZ,SZ002007,医药生物,1
300122,智飞生物,SZ,SZ300122,医药生物,1
002371,北方华创,SZ,SZ002371,电子,1
300124,汇川技术,SZ,SZ300124,电力设备,1
002475,立讯精密,SZ,SZ002475,电子,1
002594,比亚迪,SZ,SZ002594,汽车,1
300502,新易盛,SZ,SZ300502,通信,1
300408,三环集团,SZ,SZ300408,电子,1
600089,特变电工,SH,SH600089,电力设备,1
601669,中国电建,SH,SH601669,建筑,1
600115,中国东航,SH,SH600115,交通运输,1
000725,京东方A,SZ,SZ000725,电子,1
600515,海南机场,SH,SH600515,交通运输,1
