stock_id,stock_name,exchange,industry,xueqiu_symbol,active
600000,浦发银行,SH,银行,SH600000,1
601166,兴业银行,SH,银行,SH601166,1
601398,工商银行,SH,银行,SH601398,1
601939,建设银行,SH,银行,SH601939,1
601288,农业银行,SH,银行,SH601288,1
601988,中国银行,SH,银行,SH601988,1
601328,交通银行,SH,银行,SH601328,1
601658,邮储银行,SH,银行,SH601658,1
601998,中信银行,SH,银行,SH601998,1
601229,上海银行,SH,银行,SH601229,1
600016,民生银行,SH,银行,SH600016,1
000002,万科A,SZ,房地产,SZ000002,1
600048,保利发展,SH,房地产,SH600048,1
001979,招商蛇口,SZ,房地产,SZ001979,1
600606,绿地控股,SH,房地产,SH600606,1
000069,华侨城A,SZ,房地产,SZ000069,1
600030,中信证券,SH,非银金融,SH600030,1
601211,国泰海通,SH,非银金融,SH601211,1
601688,华泰证券,SH,非银金融,SH601688,1
601601,中国太保,SH,非银金融,SH601601,1
601628,中国人寿,SH,非银金融,SH601628,1
601336,新华保险,SH,非银金融,SH601336,1
000166,申万宏源,SZ,非银金融,SZ000166,1
600104,上汽集团,SH,汽车,SH600104,1
000625,长安汽车,SZ,汽车,SZ000625,1
601633,长城汽车,SH,汽车,SH601633,1
600418,江淮汽车,SH,汽车,SH600418,1
000338,潍柴动力,SZ,汽车,SZ000338,1
601888,中国中免,SH,商贸零售,SH601888,1
600690,海尔智家,SH,家用电器,SH600690,1
000651,格力电器,SZ,家用电器,SZ000651,1
000333,美的集团,SZ,家用电器,SZ000333,1
600887,伊利股份,SH,食品饮料,SH600887,1
000858,五粮液,SZ,食品饮料,SZ000858,1
600276,恒瑞医药,SH,医药生物,SH600276,1
000538,云南白药,SZ,医药生物,SZ000538,1
603259,药明康德,SH,医药生物,SH603259,1
300015,爱尔眼科,SZ,医药生物,SZ300015,1
600085,同仁堂,SH,医药生物,SH600085,1
600438,通威股份,SH,电力设备,SH600438,1
601012,隆基绿能,SH,电力设备,SH601012,1
002129,中环股份,SZ,电力设备,SZ002129,1
300274,阳光电源,SZ,电力设备,SZ300274,1
688599,天合光能,SH,电力设备,SH688599,1
000100,TCL科技,SZ,电子,SZ000100,1
002415,海康威视,SZ,电子,SZ002415,1
688981,中芯国际,SH,电子,SH688981,1
002049,紫光国微,SZ,电子,SZ002049,1
603501,韦尔股份,SH,电子,SH603501,1
600703,三安光电,SH,电子,SH600703,1
600570,恒生电子,SH,计算机,SH600570,1
000977,浪潮信息,SZ,计算机,SZ000977,1
002230,科大讯飞,SZ,计算机,SZ002230,1
600588,用友网络,SH,计算机,SH600588,1
300496,中科创达,SZ,计算机,SZ300496,1
300454,深信服,SZ,计算机,SZ300454,1
601728,中国电信,SH,通信,SH601728,1
600941,中国移动,SH,通信,SH600941,1
000063,中兴通讯,SZ,通信,SZ000063,1
600050,中国联通,SH,通信,SH600050,1
601390,中国中铁,SH,建筑,SH601390,1
601668,中国建筑,SH,建筑,SH601668,1
601800,中国交建,SH,建筑,SH601800,1
000039,中集集团,SZ,交通运输,SZ000039,1
601006,大秦铁路,SH,交通运输,SH601006,1
600029,南方航空,SH,交通运输,SH600029,1
601111,中国国航,SH,交通运输,SH601111,1
600009,上海机场,SH,交通运输,SH600009,1
601919,中远海控,SH,交通运输,SH601919,1
600028,中国石化,SH,石油石化,SH600028,1
601088,中国神华,SH,煤炭,SH601088,1
600188,兖矿能源,SH,煤炭,SH600188,1
601225,陕西煤业,SH,煤炭,SH601225,1
600900,长江电力,SH,公用事业,SH600900,1
600011,华能国际,SH,公用事业,SH600011,1
600025,华能水电,SH,公用事业,SH600025,1
601985,中国核电,SH,公用事业,SH601985,1
002007,华兰生物,SZ,医药生物,SZ002007,1
300122,智飞生物,SZ,医药生物,SZ300122,1
002371,北方华创,SZ,电子,SZ002371,1
300124,汇川技术,SZ,电力设备,SZ300124,1
002475,立讯精密,SZ,电子,SZ002475,1
002594,比亚迪,SZ,汽车,SZ002594,1
300502,新易盛,SZ,通信,SZ300502,1
300408,三环集团,SZ,电子,SZ300408,1
600089,特变电工,SH,电力设备,SH600089,1
601669,中国电建,SH,建筑,SH601669,1
600115,中国东航,SH,交通运输,SH600115,1
000725,京东方A,SZ,电子,SZ000725,1
600515,海南机场,SH,交通运输,SH600515,1
000001,平安银行,SZ,银行,SZ000001,1
600519,贵州茅台,SH,食品饮料,SH600519,1
601318,中国平安,SH,非银金融,SH601318,1
300750,宁德时代,SZ,电力设备,SZ300750,1
300059,东方财富,SZ,非银金融,SZ300059,1
600036,招商银行,SH,银行,SH600036,1
601857,中国石油,SH,石油石化,SH601857,1
601138,工业富联,SH,电子,SH601138,1
601766,中国中车,SH,机械设备,SH601766,1
601186,中国铁建,SH,建筑,SH601186,1
000006,深振业Ａ,SZ,K 房地产,SZ000006,1
000007,全新好,SZ,K 房地产,SZ000007,1
000008,神州高铁,SZ,C 制造业,SZ000008,1
000009,中国宝安,SZ,J 金融业,SZ000009,1
000011,深物业A,SZ,K 房地产,SZ000011,1
000012,南玻Ａ,SZ,C 制造业,SZ000012,1
000014,沙河股份,SZ,K 房地产,SZ000014,1
000017,深中华A,SZ,C 制造业,SZ000017,1
000019,深粮控股,SZ,F 批发零售,SZ000019,1
000020,深华发Ａ,SZ,C 制造业,SZ000020,1
000021,深科技,SZ,C 制造业,SZ000021,1
000025,特力Ａ,SZ,F 批发零售,SZ000025,1
000026,飞亚达,SZ,F 批发零售,SZ000026,1
000027,深圳能源,SZ,D 水电煤气,SZ000027,1
000028,国药一致,SZ,F 批发零售,SZ000028,1
000029,深深房Ａ,SZ,K 房地产,SZ000029,1
000030,富奥股份,SZ,C 制造业,SZ000030,1
000031,大悦城,SZ,K 房地产,SZ000031,1
000032,深桑达Ａ,SZ,E 建筑业,SZ000032,1
000034,神州数码,SZ,F 批发零售,SZ000034,1
000035,中国天楹,SZ,N 公共环保,SZ000035,1
000036,华联控股,SZ,K 房地产,SZ000036,1
000037,深南电A,SZ,D 水电煤气,SZ000037,1
000042,中洲控股,SZ,K 房地产,SZ000042,1
000045,深纺织Ａ,SZ,C 制造业,SZ000045,1
000048,京基智农,SZ,A 农林牧渔,SZ000048,1
000049,德赛电池,SZ,C 制造业,SZ000049,1
000050,深天马Ａ,SZ,C 制造业,SZ000050,1
000055,方大集团,SZ,C 制造业,SZ000055,1
000058,深赛格,SZ,L 商务服务,SZ000058,1
000059,华锦股份,SZ,C 制造业,SZ000059,1
000060,中金岭南,SZ,C 制造业,SZ000060,1
000061,农产品,SZ,L 商务服务,SZ000061,1
000062,深圳华强,SZ,F 批发零售,SZ000062,1
000065,北方国际,SZ,F 批发零售,SZ000065,1
000066,中国长城,SZ,C 制造业,SZ000066,1
000068,华控赛格,SZ,F 批发零售,SZ000068,1
000070,特发信息,SZ,C 制造业,SZ000070,1
000088,盐田港,SZ,G 运输仓储,SZ000088,1
000089,深圳机场,SZ,G 运输仓储,SZ000089,1
000090,天健集团,SZ,E 建筑业,SZ000090,1
000096,广聚能源,SZ,F 批发零售,SZ000096,1
000099,中信海直,SZ,G 运输仓储,SZ000099,1
000151,中成股份,SZ,F 批发零售,SZ000151,1
000153,丰原药业,SZ,C 制造业,SZ000153,1
000155,川能动力,SZ,D 水电煤气,SZ000155,1
000156,华数传媒,SZ,I 信息技术,SZ000156,1
000157,中联重科,SZ,C 制造业,SZ000157,1
000158,常山北明,SZ,I 信息技术,SZ000158,1
000159,国际实业,SZ,F 批发零售,SZ000159,1
000301,东方盛虹,SZ,C 制造业,SZ000301,1
000400,许继电气,SZ,C 制造业,SZ000400,1
000401,金隅冀东,SZ,C 制造业,SZ000401,1
000402,金融街,SZ,K 房地产,SZ000402,1
000403,派林生物,SZ,C 制造业,SZ000403,1
000404,长虹华意,SZ,C 制造业,SZ000404,1
000407,胜利股份,SZ,D 水电煤气,SZ000407,1
000408,藏格矿业,SZ,C 制造业,SZ000408,1
000409,云鼎科技,SZ,I 信息技术,SZ000409,1
000410,沈阳机床,SZ,C 制造业,SZ000410,1
000411,英特集团,SZ,F 批发零售,SZ000411,1
000415,渤海租赁,SZ,L 商务服务,SZ000415,1
000417,合百集团,SZ,F 批发零售,SZ000417,1
000419,通程控股,SZ,F 批发零售,SZ000419,1
000420,吉林化纤,SZ,C 制造业,SZ000420,1
000421,南京公用,SZ,D 水电煤气,SZ000421,1
000422,湖北宜化,SZ,C 制造业,SZ000422,1
000423,东阿阿胶,SZ,C 制造业,SZ000423,1
000425,徐工机械,SZ,C 制造业,SZ000425,1
000426,兴业银锡,SZ,B 采矿业,SZ000426,1
000428,华天酒店,SZ,H 住宿餐饮,SZ000428,1
000429,粤高速Ａ,SZ,G 运输仓储,SZ000429,1
000430,张家界,SZ,N 公共环保,SZ000430,1
000498,山东路桥,SZ,E 建筑业,SZ000498,1
000501,武商集团,SZ,F 批发零售,SZ000501,1
000503,国新健康,SZ,I 信息技术,SZ000503,1
000504,南华生物,SZ,M 科研服务,SZ000504,1
000505,京粮控股,SZ,C 制造业,SZ000505,1
000506,招金黄金,SZ,B 采矿业,SZ000506,1
000507,珠海港,SZ,G 运输仓储,SZ000507,1
000509,华塑控股,SZ,C 制造业,SZ000509,1
000510,新金路,SZ,C 制造业,SZ000510,1
000513,丽珠集团,SZ,C 制造业,SZ000513,1
000514,渝开发,SZ,K 房地产,SZ000514,1
000516,国际医学,SZ,Q 卫生,SZ000516,1
000517,荣安地产,SZ,K 房地产,SZ000517,1
000518,四环生物,SZ,C 制造业,SZ000518,1
000519,中兵红箭,SZ,C 制造业,SZ000519,1
000520,凤凰航运,SZ,G 运输仓储,SZ000520,1
000521,长虹美菱,SZ,C 制造业,SZ000521,1
000523,红棉股份,SZ,C 制造业,SZ000523,1
000524,岭南控股,SZ,L 商务服务,SZ000524,1
000525,红太阳,SZ,C 制造业,SZ000525,1
000526,学大教育,SZ,P 教育,SZ000526,1
000528,柳工,SZ,C 制造业,SZ000528,1
000529,广弘控股,SZ,C 制造业,SZ000529,1
000530,冰山冷热,SZ,C 制造业,SZ000530,1
000531,穗恒运Ａ,SZ,D 水电煤气,SZ000531,1
000532,华金资本,SZ,S 综合,SZ000532,1
000533,顺钠股份,SZ,C 制造业,SZ000533,1
000534,万泽股份,SZ,C 制造业,SZ000534,1
000536,华映科技,SZ,C 制造业,SZ000536,1
000537,绿发电力,SZ,D 水电煤气,SZ000537,1
000539,粤电力Ａ,SZ,D 水电煤气,SZ000539,1
000541,佛山照明,SZ,C 制造业,SZ000541,1
000543,皖能电力,SZ,D 水电煤气,SZ000543,1
000544,中原环保,SZ,D 水电煤气,SZ000544,1
000545,金浦钛业,SZ,C 制造业,SZ000545,1
000546,金圆股份,SZ,C 制造业,SZ000546,1
000547,航天发展,SZ,C 制造业,SZ000547,1
000548,湖南投资,SZ,G 运输仓储,SZ000548,1
000550,江铃汽车,SZ,C 制造业,SZ000550,1
000551,创元科技,SZ,C 制造业,SZ000551,1
000552,甘肃能化,SZ,B 采矿业,SZ000552,1
000553,安道麦A,SZ,C 制造业,SZ000553,1
000554,泰山石油,SZ,F 批发零售,SZ000554,1
000555,神州信息,SZ,I 信息技术,SZ000555,1
000557,西部创业,SZ,G 运输仓储,SZ000557,1
000558,天府文旅,SZ,N 公共环保,SZ000558,1
000559,万向钱潮,SZ,C 制造业,SZ000559,1
000560,我爱我家,SZ,K 房地产,SZ000560,1
000561,烽火电子,SZ,C 制造业,SZ000561,1
000563,陕国投Ａ,SZ,J 金融业,SZ000563,1
000564,供销大集,SZ,F 批发零售,SZ000564,1
000565,渝三峡Ａ,SZ,C 制造业,SZ000565,1
000566,海南海药,SZ,C 制造业,SZ000566,1
000567,海德股份,SZ,J 金融业,SZ000567,1
000568,泸州老窖,SZ,C 制造业,SZ000568,1
000570,苏常柴Ａ,SZ,C 制造业,SZ000570,1
000571,新大洲A,SZ,B 采矿业,SZ000571,1
000572,海马汽车,SZ,C 制造业,SZ000572,1
000573,粤宏远Ａ,SZ,C 制造业,SZ000573,1
000576,甘化科工,SZ,C 制造业,SZ000576,1
000581,威孚高科,SZ,C 制造业,SZ000581,1
000582,北部湾港,SZ,G 运输仓储,SZ000582,1
000586,汇源通信,SZ,C 制造业,SZ000586,1
000589,贵州轮胎,SZ,C 制造业,SZ000589,1
000590,古汉医药,SZ,C 制造业,SZ000590,1
000591,太阳能,SZ,D 水电煤气,SZ000591,1
000592,平潭发展,SZ,C 制造业,SZ000592,1
000593,德龙汇能,SZ,D 水电煤气,SZ000593,1
000595,新能股份,SZ,C 制造业,SZ000595,1
000596,古井贡酒,SZ,C 制造业,SZ000596,1
000597,东北制药,SZ,C 制造业,SZ000597,1
000598,兴蓉环境,SZ,D 水电煤气,SZ000598,1
000599,青岛双星,SZ,C 制造业,SZ000599,1
000600,建投能源,SZ,D 水电煤气,SZ000600,1
000601,韶能股份,SZ,D 水电煤气,SZ000601,1
000603,盛达资源,SZ,B 采矿业,SZ000603,1
000605,渤海股份,SZ,D 水电煤气,SZ000605,1
000607,华媒控股,SZ,L 商务服务,SZ000607,1
000608,阳光股份,SZ,K 房地产,SZ000608,1
000612,焦作万方,SZ,C 制造业,SZ000612,1
000617,中油资本,SZ,J 金融业,SZ000617,1
000619,海螺新材,SZ,C 制造业,SZ000619,1
000620,盈新发展,SZ,K 房地产,SZ000620,1
000623,吉林敖东,SZ,C 制造业,SZ000623,1
000626,远大控股,SZ,F 批发零售,SZ000626,1
000628,高新发展,SZ,E 建筑业,SZ000628,1
000629,钒钛股份,SZ,C 制造业,SZ000629,1
000630,铜陵有色,SZ,C 制造业,SZ000630,1
000631,顺发恒能,SZ,K 房地产,SZ000631,1
000633,合金投资,SZ,C 制造业,SZ000633,1
000635,英力特,SZ,C 制造业,SZ000635,1
000636,风华高科,SZ,C 制造业,SZ000636,1
000637,茂化实华,SZ,C 制造业,SZ000637,1
000650,仁和药业,SZ,C 制造业,SZ000650,1
000652,泰达股份,SZ,F 批发零售,SZ000652,1
000655,金岭矿业,SZ,B 采矿业,SZ000655,1
000656,金科股份,SZ,K 房地产,SZ000656,1
000657,中钨高新,SZ,C 制造业,SZ000657,1
000659,珠海中富,SZ,C 制造业,SZ000659,1
000661,长春高新,SZ,C 制造业,SZ000661,1
000663,永安林业,SZ,A 农林牧渔,SZ000663,1
000665,湖北广电,SZ,I 信息技术,SZ000665,1
000668,荣丰控股,SZ,K 房地产,SZ000668,1
000670,盈方微,SZ,F 批发零售,SZ000670,1
000672,上峰材料,SZ,C 制造业,SZ000672,1
000676,智度股份,SZ,L 商务服务,SZ000676,1
000678,襄阳轴承,SZ,C 制造业,SZ000678,1
000679,大连友谊,SZ,F 批发零售,SZ000679,1
000680,山推股份,SZ,C 制造业,SZ000680,1
000681,视觉中国,SZ,I 信息技术,SZ000681,1
000682,东方电子,SZ,I 信息技术,SZ000682,1
000683,博源化工,SZ,C 制造业,SZ000683,1
000685,中山公用,SZ,D 水电煤气,SZ000685,1
000686,东北证券,SZ,J 金融业,SZ000686,1
000688,国城矿业,SZ,B 采矿业,SZ000688,1
000690,宝新能源,SZ,D 水电煤气,SZ000690,1
000691,亚太实业,SZ,C 制造业,SZ000691,1
000692,惠天热电,SZ,D 水电煤气,SZ000692,1
000695,滨海能源,SZ,C 制造业,SZ000695,1
000697,炼石航空,SZ,C 制造业,SZ000697,1
000700,模塑科技,SZ,C 制造业,SZ000700,1
000701,厦门信达,SZ,F 批发零售,SZ000701,1
000702,正虹科技,SZ,C 制造业,SZ000702,1
000703,恒逸石化,SZ,C 制造业,SZ000703,1
000705,浙江震元,SZ,F 批发零售,SZ000705,1
000707,双环科技,SZ,C 制造业,SZ000707,1
000708,中信特钢,SZ,C 制造业,SZ000708,1
000709,河钢股份,SZ,C 制造业,SZ000709,1
000710,贝瑞基因,SZ,M 科研服务,SZ000710,1
000712,锦龙股份,SZ,J 金融业,SZ000712,1
000713,国投丰乐,SZ,A 农林牧渔,SZ000713,1
000715,中兴商业,SZ,F 批发零售,SZ000715,1
000716,黑芝麻,SZ,C 制造业,SZ000716,1
000717,中南股份,SZ,C 制造业,SZ000717,1
000718,苏宁环球,SZ,K 房地产,SZ000718,1
000719,中原传媒,SZ,R 文化传播,SZ000719,1
000720,新能泰山,SZ,C 制造业,SZ000720,1
000721,西安饮食,SZ,H 住宿餐饮,SZ000721,1
000722,湖南发展,SZ,D 水电煤气,SZ000722,1
000723,美锦能源,SZ,C 制造业,SZ000723,1
000726,鲁泰Ａ,SZ,C 制造业,SZ000726,1
000727,冠捷科技,SZ,C 制造业,SZ000727,1
000728,国元证券,SZ,J 金融业,SZ000728,1
000729,燕京啤酒,SZ,C 制造业,SZ000729,1
000731,四川美丰,SZ,C 制造业,SZ000731,1
000733,振华科技,SZ,C 制造业,SZ000733,1
000735,罗牛山,SZ,A 农林牧渔,SZ000735,1
000736,中交发展,SZ,K 房地产,SZ000736,1
000737,北方铜业,SZ,C 制造业,SZ000737,1
000738,航发控制,SZ,C 制造业,SZ000738,1
000739,普洛药业,SZ,C 制造业,SZ000739,1
000750,国海证券,SZ,J 金融业,SZ000750,1
000751,锌业股份,SZ,C 制造业,SZ000751,1
000753,漳州发展,SZ,F 批发零售,SZ000753,1
000755,山西高速,SZ,G 运输仓储,SZ000755,1
000756,新华制药,SZ,C 制造业,SZ000756,1
000757,浩物股份,SZ,F 批发零售,SZ000757,1
000758,中色股份,SZ,B 采矿业,SZ000758,1
