job_id,manifest,task_id,phase,embedding_root,model,variant,feature,classifier,reducer,components,output,elapsed_seconds,max_rss_kib
3858870_0,configs/generated/pooled_roberta_short_masked_short_triple_concat.tsv,0,triple_concat,data/processed/pooled_embeddings_v3,roberta,short,title_body_full_concat,logistic,none,0,reports/classification/pooled_embeddings/triple_concat/roberta_short_title_body_full_concat_logistic_none_0.json,421,34436184
3858870_1,configs/generated/pooled_roberta_short_masked_short_triple_concat.tsv,1,triple_concat,data/processed/pooled_embeddings_v3,roberta,short,title_body_full_concat,logistic,pca,128,reports/classification/pooled_embeddings/triple_concat/roberta_short_title_body_full_concat_logistic_pca_128.json,40,20610452
3858870_2,configs/generated/pooled_roberta_short_masked_short_triple_concat.tsv,2,triple_concat,data/processed/pooled_embeddings_v3,roberta,masked_short,title_body_full_concat,logistic,none,0,reports/classification/pooled_embeddings/triple_concat/roberta_masked_short_title_body_full_concat_logistic_none_0.json,476,32849988
3858870_3,configs/generated/pooled_roberta_short_masked_short_triple_concat.tsv,3,triple_concat,data/processed/pooled_embeddings_v3,roberta,masked_short,title_body_full_concat,logistic,pca,128,reports/classification/pooled_embeddings/triple_concat/roberta_masked_short_title_body_full_concat_logistic_pca_128.json,39,18538184
3858872_0,configs/generated/pooled_bge_m3_short_masked_short_triple_models.tsv,0,triple_models,data/processed/pooled_embeddings_v3,bge_m3,short,title_body_full_concat,linear_svm,none,0,reports/classification/pooled_embeddings/triple_models/bge_m3_short_title_body_full_concat_linear_svm_none_0.json,80686,37018512
3858872_1,configs/generated/pooled_bge_m3_short_masked_short_triple_models.tsv,1,triple_models,data/processed/pooled_embeddings_v3,bge_m3,short,title_body_full_concat,linear_svm,pca,128,reports/classification/pooled_embeddings/triple_models/bge_m3_short_title_body_full_concat_linear_svm_pca_128.json,75,24248756
3858872_2,configs/generated/pooled_bge_m3_short_masked_short_triple_models.tsv,2,triple_models,data/processed/pooled_embeddings_v3,bge_m3,short,title_body_full_concat,sgd,none,0,reports/classification/pooled_embeddings/triple_models/bge_m3_short_title_body_full_concat_sgd_none_0.json,2988,24670256
3858872_3,configs/generated/pooled_bge_m3_short_masked_short_triple_models.tsv,3,triple_models,data/processed/pooled_embeddings_v3,bge_m3,short,title_body_full_concat,sgd,pca,128,reports/classification/pooled_embeddings/triple_models/bge_m3_short_title_body_full_concat_sgd_pca_128.json,80,24990508
3858872_4,configs/generated/pooled_bge_m3_short_masked_short_triple_models.tsv,4,triple_models,data/processed/pooled_embeddings_v3,bge_m3,short,title_body_full_concat,mlp,none,0,reports/classification/pooled_embeddings/triple_models/bge_m3_short_title_body_full_concat_mlp_none_0.json,2080,25485304
3858872_5,configs/generated/pooled_bge_m3_short_masked_short_triple_models.tsv,5,triple_models,data/processed/pooled_embeddings_v3,bge_m3,short,title_body_full_concat,mlp,pca,128,reports/classification/pooled_embeddings/triple_models/bge_m3_short_title_body_full_concat_mlp_pca_128.json,373,22004660
3858872_6,configs/generated/pooled_bge_m3_short_masked_short_triple_models.tsv,6,triple_models,data/processed/pooled_embeddings_v3,bge_m3,masked_short,title_body_full_concat,linear_svm,none,0,reports/classification/pooled_embeddings/triple_models/bge_m3_masked_short_title_body_full_concat_linear_svm_none_0.json,146024,37044356
3858872_7,configs/generated/pooled_bge_m3_short_masked_short_triple_models.tsv,7,triple_models,data/processed/pooled_embeddings_v3,bge_m3,masked_short,title_body_full_concat,linear_svm,pca,128,reports/classification/pooled_embeddings/triple_models/bge_m3_masked_short_title_body_full_concat_linear_svm_pca_128.json,52,25130336
3858872_8,configs/generated/pooled_bge_m3_short_masked_short_triple_models.tsv,8,triple_models,data/processed/pooled_embeddings_v3,bge_m3,masked_short,title_body_full_concat,sgd,none,0,reports/classification/pooled_embeddings/triple_models/bge_m3_masked_short_title_body_full_concat_sgd_none_0.json,1628,21406360
3858872_9,configs/generated/pooled_bge_m3_short_masked_short_triple_models.tsv,9,triple_models,data/processed/pooled_embeddings_v3,bge_m3,masked_short,title_body_full_concat,sgd,pca,128,reports/classification/pooled_embeddings/triple_models/bge_m3_masked_short_title_body_full_concat_sgd_pca_128.json,131,26197652
3858872_10,configs/generated/pooled_bge_m3_short_masked_short_triple_models.tsv,10,triple_models,data/processed/pooled_embeddings_v3,bge_m3,masked_short,title_body_full_concat,mlp,none,0,reports/classification/pooled_embeddings/triple_models/bge_m3_masked_short_title_body_full_concat_mlp_none_0.json,2142,25390968
3858872_11,configs/generated/pooled_bge_m3_short_masked_short_triple_models.tsv,11,triple_models,data/processed/pooled_embeddings_v3,bge_m3,masked_short,title_body_full_concat,mlp,pca,128,reports/classification/pooled_embeddings/triple_models/bge_m3_masked_short_title_body_full_concat_mlp_pca_128.json,543,26254124
3858873_0,configs/generated/pooled_roberta_short_masked_short_triple_models.tsv,0,triple_models,data/processed/pooled_embeddings_v3,roberta,short,title_body_full_concat,linear_svm,none,0,reports/classification/pooled_embeddings/triple_models/roberta_short_title_body_full_concat_linear_svm_none_0.json,41471,28027780
3858873_1,configs/generated/pooled_roberta_short_masked_short_triple_models.tsv,1,triple_models,data/processed/pooled_embeddings_v3,roberta,short,title_body_full_concat,linear_svm,pca,128,reports/classification/pooled_embeddings/triple_models/roberta_short_title_body_full_concat_linear_svm_pca_128.json,40,17001644
3858873_2,configs/generated/pooled_roberta_short_masked_short_triple_models.tsv,2,triple_models,data/processed/pooled_embeddings_v3,roberta,short,title_body_full_concat,sgd,none,0,reports/classification/pooled_embeddings/triple_models/roberta_short_title_body_full_concat_sgd_none_0.json,1339,16321660
