dataset,model,method,rank_ic,rank_ic_ir,positive_years,years,top20_mean_bp,bottom20_mean_bp,long_short_mean_bp
cninfo,bge_m3,best_single,0.032889485769697004,0.2153966071560582,3,3,90.76450998016242,1.820881924033965,88.94362805612847
cninfo,bge_m3,equal_weight,0.029952597429629066,0.19807494804127102,3,3,90.33783733788069,1.0903756743148805,89.2474616635658
cninfo,bge_m3,tree_selected,0.026653810927974766,0.18577186106156587,3,3,85.66302521011856,3.1969638158578335,82.46606139426073
cninfo,qwen3_embedding_8b,best_single,0.05274165079586996,0.32394887933024874,3,3,91.88571904650713,-3.430913324444227,95.31663237095135
cninfo,qwen3_embedding_8b,equal_weight,0.04675411270222853,0.2973400226947527,3,3,91.52209703405568,-0.7965393401075823,92.31863637416325
cninfo,qwen3_embedding_8b,tree_selected,0.05275394643927503,0.33308010150629735,3,3,83.58987417818405,-7.102811303784319,90.69268548196838
cninfo,roberta,best_single,0.0336847491520871,0.21289513374523725,3,3,87.18642712187948,1.4738994175311788,85.7125277043483
cninfo,roberta,equal_weight,0.029540892081566534,0.1959323301545448,3,3,84.47208116387901,1.5857825731071742,82.88629859077182
cninfo,roberta,tree_selected,0.017032038191321833,0.10777251581251861,3,3,76.91404641432028,8.562455087684084,68.35159132663618
sina,bge_m3,best_single,0.0184936909195121,0.077935093779295,1,1,1.50518490839563,-14.09031647110218,15.59550137949781
sina,bge_m3,equal_weight,0.0321776810712441,0.1419930501965979,1,1,6.990112590503766,-23.147143784876505,30.13725637538026
sina,bge_m3,tree_selected,0.0168452843710184,0.063456244319995,1,1,-3.975421283011465,-24.922300055426668,20.946878772415204
sina,qwen3_embedding_8b,best_single,0.0564922759704981,0.2510855210473482,1,1,27.81626160350712,-43.12961228476852,70.94587388827564
sina,qwen3_embedding_8b,equal_weight,0.0527281460446473,0.2231206991030783,1,1,25.656879018075305,-65.25537492230248,90.91225394037778
sina,qwen3_embedding_8b,tree_selected,0.0545943805262216,0.2491493862292796,1,1,24.72444568017775,-49.72758019686776,74.45202587704551
sina,roberta,best_single,0.0088385403735136,0.0385125554836579,1,1,-4.742536958262436,-36.88130737245882,32.13877041419639
sina,roberta,equal_weight,-0.0188958565703649,-0.0732111103448106,0,1,-14.63413289428477,-26.347336086374032,11.71320319208926
sina,roberta,tree_selected,-0.0117703089560101,-0.0493985156362763,0,1,-19.266033373705135,-30.783542580776075,11.51750920707094
