factor_id,prompt,prompt_zh,model,variant,objective,gamma,gross_daily_bp,cost_daily_bp,net_daily_bp,daily_turnover,net_sharpe,net_geometric_annual_return,average_nominal_holdings,median_nominal_holdings,average_effective_holdings,average_current_top20_names,average_eligible_stocks,average_raw_signal_rows
soft_excess_return_roberta_masked_short_long_short,excess_return,超额收益,roberta,masked_short,long_short,0.1,4.131599262030008,0.5606662536210176,3.57093300840899,0.05606662536210175,0.5256412783647745,0.0783131149991238,103.57252641690683,106.0,15.10524343671701,1.1018251681075888,6.13640730067243,14.863592699327569
soft_excess_return_roberta_masked_short_long_short,excess_return,超额收益,roberta,masked_short,long_short,0.2,4.496505710603722,1.0899121836650338,3.406593526938689,0.10899121836650338,0.4749953704943631,0.0720518340640357,73.40730067243035,74.0,9.894054405459661,1.1018251681075888,6.13640730067243,14.863592699327569
soft_excess_return_roberta_masked_short_long_short,excess_return,超额收益,roberta,masked_short,long_short,0.3,4.378921634123814,1.616147287070691,2.7627743470531234,0.1616147287070691,0.3613219928842877,0.0524577757256909,58.07204610951008,57.0,7.175763987432488,1.1018251681075888,6.13640730067243,14.863592699327569
soft_excess_return_roberta_masked_short_long_short,excess_return,超额收益,roberta,masked_short,long_short,0.4,4.097772864524288,2.1410337933981736,1.9567390711261126,0.21410337933981735,0.2391351771793703,0.0285345842586182,47.31844380403458,46.0,5.516834396406499,1.1018251681075888,6.13640730067243,14.863592699327569
soft_excess_return_roberta_masked_short_long_short,excess_return,超额收益,roberta,masked_short,long_short,0.5,3.7675604127458353,2.666292326528807,1.1012680862170268,0.2666292326528807,0.1256289976259553,0.0034556807259913,39.63112391930836,37.0,4.400060104902705,1.1018251681075888,6.13640730067243,14.863592699327569
soft_excess_return_roberta_masked_short_long_short,excess_return,超额收益,roberta,masked_short,long_short,0.6,3.44225236067313,3.195406543985685,0.2468458166874447,0.31954065439856855,0.0262789707383054,-0.0214567577401664,33.36839577329491,31.0,3.5937742350867277,1.1018251681075888,6.13640730067243,14.863592699327569
soft_excess_return_roberta_masked_short_long_short,excess_return,超额收益,roberta,masked_short,long_short,0.7,3.153090735304111,3.727624380538265,-0.5745336452341516,0.3727624380538264,-0.0570742813930639,-0.0454785964110097,28.11287223823247,26.0,2.9791265814493104,1.1018251681075888,6.13640730067243,14.863592699327569
soft_excess_return_roberta_masked_short_long_short,excess_return,超额收益,roberta,masked_short,long_short,0.8,2.924021150359502,4.264084193700522,-1.3400630433410194,0.42640841937005214,-0.1242036452214963,-0.068188419665473,23.272814601344862,22.0,2.489010363736484,1.1018251681075888,6.13640730067243,14.863592699327569
soft_excess_return_roberta_masked_short_long_short,excess_return,超额收益,roberta,masked_short,long_short,0.9,2.7802895387515947,4.803515273342535,-2.02322573459094,0.4803515273342534,-0.1749183823765397,-0.0891382738138431,17.924591738712778,17.0,2.0838642847301414,1.1018251681075888,6.13640730067243,14.863592699327569
soft_excess_return_roberta_masked_short_long_short,excess_return,超额收益,roberta,masked_short,long_short,1.0,2.7514286166353634,5.346872713178558,-2.5954440965431953,0.534687271317856,-0.2092083859852969,-0.1079036941688885,1.7406340057636887,2.0,1.7406340057636887,1.1018251681075888,6.13640730067243,14.863592699327569
soft_loss_bge_m3_masked_short_rank_ic,loss,亏损,bge_m3,masked_short,rank_ic,0.1,4.182464485529144,0.5506152382553406,3.631849247273804,0.055061523825534066,0.5950608985057427,0.0829722545911209,97.37704130643611,103.0,13.899337372624242,1.1018251681075888,6.13640730067243,14.863592699327569
soft_loss_bge_m3_masked_short_rank_ic,loss,亏损,bge_m3,masked_short,rank_ic,0.2,5.078020529199376,1.0693904735323667,4.008630055667011,0.10693904735323667,0.6292123282128578,0.092139168924469,67.13400576368876,67.0,9.303444509264597,1.1018251681075888,6.13640730067243,14.863592699327569
soft_loss_bge_m3_masked_short_rank_ic,loss,亏损,bge_m3,masked_short,rank_ic,0.3,5.6507715752770595,1.5847335463770045,4.066038028900054,0.15847335463770043,0.6056581892211552,0.0921678343937268,52.487031700288185,52.0,6.86499202678063,1.1018251681075888,6.13640730067243,14.863592699327569
soft_loss_bge_m3_masked_short_rank_ic,loss,亏损,bge_m3,masked_short,rank_ic,0.4,5.948473176690967,2.097532003305986,3.850941173384984,0.20975320033059855,0.5421877751295113,0.0844226373892447,43.2180595581172,43.0,5.345287345426253,1.1018251681075888,6.13640730067243,14.863592699327569
