factor_id,prompt,prompt_zh,model,variant,objective,days,gross_daily_bp,cost_daily_bp,net_daily_bp,average_holdings,median_holdings,average_new_signals,average_raw_signals,daily_turnover,net_sharpe,net_geometric_annual_return
soft_excess_return_bge_m3_masked_short_long_short,excess_return,超额收益,bge_m3,masked_short,long_short,2082,2.9197941868217443,0.5462401952673235,2.37355399155442,85.85062439961575,85.0,6.13640730067243,14.863592699327569,0.05462401952673235,0.3843178312722477,0.04890415632985
soft_excess_return_bge_m3_masked_short_rank_ic,excess_return,超额收益,bge_m3,masked_short,rank_ic,2082,3.2445513055560653,0.5442087014028765,2.700342604153189,85.82228626320845,91.0,6.13640730067243,14.863592699327569,0.05442087014028766,0.4417591670501387,0.0578299317161206
soft_excess_return_bge_m3_short_long_short,excess_return,超额收益,bge_m3,short,long_short,2082,2.538445383360293,0.543952161831147,1.9944932215291462,82.78962536023054,87.0,6.13640730067243,14.863592699327569,0.05439521618311471,0.3252726952247204,0.0391206526579637
soft_excess_return_bge_m3_short_rank_ic,excess_return,超额收益,bge_m3,short,rank_ic,2082,3.368889079955702,0.5396292981163786,2.8292597818393235,79.98703170028818,80.0,6.13640730067243,14.863592699327569,0.053962929811637854,0.4737659768197705,0.0618572291621801
soft_excess_return_roberta_masked_short_long_short,excess_return,超额收益,roberta,masked_short,long_short,2082,4.131599262030008,0.5606662536210176,3.57093300840899,103.57252641690683,106.0,6.13640730067243,14.863592699327569,0.05606662536210175,0.5256412783647745,0.0783131149991238
soft_excess_return_roberta_masked_short_rank_ic,excess_return,超额收益,roberta,masked_short,rank_ic,2082,2.9142899382086775,0.5601421251043149,2.3541478131043627,101.51681075888568,101.0,6.13640730067243,14.863592699327569,0.05601421251043149,0.3521285994057466,0.0462318368365202
soft_excess_return_roberta_short_long_short,excess_return,超额收益,roberta,short,long_short,2082,2.842608827821581,0.5628301912423971,2.2797786365791834,105.32180595581173,103.0,6.13640730067243,14.863592699327569,0.05628301912423971,0.3537158258260477,0.0453332473803842
soft_excess_return_roberta_short_rank_ic,excess_return,超额收益,roberta,short,rank_ic,2082,3.3546041528375934,0.5577864209067283,2.796817731930866,99.59894332372718,101.0,6.13640730067243,14.863592699327569,0.05577864209067282,0.419916432787431,0.0581008620822129
soft_loss_bge_m3_masked_short_long_short,loss,亏损,bge_m3,masked_short,long_short,2082,3.611166949596665,0.5548258808488845,3.0563410687477806,94.45773294908741,100.0,6.13640730067243,14.863592699327569,0.05548258808488845,0.4777310169567578,0.0661436826167787
soft_loss_bge_m3_masked_short_rank_ic,loss,亏损,bge_m3,masked_short,rank_ic,2082,4.182464485529144,0.5506152382553406,3.631849247273804,97.37704130643611,103.0,6.13640730067243,14.863592699327569,0.055061523825534066,0.5950608985057427,0.0829722545911209
