prompt,model,representation,short_rankic,masked_short_rankic,delta
盈利,RoBERTa,prompt_mean,0.05509857450477393,0.05790542722553644,0.0028068527207625107
收益,RoBERTa,prompt_mean,0.05427191277970469,0.06044035000015138,0.0061684372204466945
超额收益,RoBERTa,prompt_mean,0.05015783702404496,0.05132250542601117,0.001164668401966211
亏损,RoBERTa,prompt_mean,0.051116146151961736,0.05957033637185202,0.008454190219890287
盈利,RoBERTa,target_span,0.053227470772465285,0.054295158549887396,0.0010676877774221105
收益,RoBERTa,target_span,0.049346801258984385,0.05393688979667312,0.004590088537688733
超额收益,RoBERTa,target_span,0.05850617443436563,0.05643639817494894,-0.002069776259416685
亏损,RoBERTa,target_span,0.04729827260804729,0.05478688229555219,0.0074886096875049005
盈利,BGE-M3,prompt_mean,0.030719879571057034,0.03391836622649699,0.0031984866554399596
收益,BGE-M3,prompt_mean,0.03173192001030574,0.03313319196100565,0.0014012719506999102
超额收益,BGE-M3,prompt_mean,0.03205123839757678,0.033042370799105436,0.0009911324015286563
亏损,BGE-M3,prompt_mean,0.03070617016219273,0.03241381649951454,0.0017076463373218095
盈利,BGE-M3,target_span,0.035136027046807614,0.038116842510222605,0.0029808154634149917
收益,BGE-M3,target_span,0.03301390028377203,0.03556179117447754,0.0025478908907055065
超额收益,BGE-M3,target_span,0.032068608695448204,0.037203307793535055,0.005134699098086851
亏损,BGE-M3,target_span,0.03226818729417296,0.03431151536116025,0.0020433280669872877
